date,mean
2006-12-31,18.05
2007-12-31,18.22
2008-12-31,18.07
2009-12-31,18.36
2010-12-31,18.16
2011-12-31,18.27
2012-12-31,18.45
2013-12-31,18.3
2014-12-31,18.19
2015-12-31,18.39
2016-12-31,18.18
2017-12-31,18.28
2018-12-31,18.29
2019-12-31,18.5
2020-12-31,18.46
2021-12-31,18.26
2022-12-31,18.78
2023-12-31,18.73
2024-12-31,18.82
2025-12-31,18.88
2026-12-31,19.21
2027-12-31,18.71
2028-12-31,18.97
2029-12-31,19.13
2030-12-31,18.9
2031-12-31,19.01
2032-12-31,19.2
2033-12-31,19.28
2034-12-31,19.2
2035-12-31,19.26
2036-12-31,19.22
2037-12-31,19.14
2038-12-31,19.27
2039-12-31,19.34
2040-12-31,19.0
2041-12-31,19.44
2042-12-31,19.33
2043-12-31,19.4
2044-12-31,19.39
2045-12-31,19.76
2046-12-31,19.61
2047-12-31,19.81
2048-12-31,19.68
2049-12-31,19.83
2050-12-31,19.88
2051-12-31,19.71
2052-12-31,20.07
2053-12-31,19.99
2054-12-31,19.94
2055-12-31,19.85
2056-12-31,19.65
2057-12-31,19.96
2058-12-31,20.38
2059-12-31,19.96
2060-12-31,19.85
2061-12-31,20.14
2062-12-31,20.22
2063-12-31,20.05
2064-12-31,19.91
2065-12-31,20.25
2066-12-31,20.15
2067-12-31,20.2
2068-12-31,20.11
2069-12-31,20.33
2070-12-31,20.06
2071-12-31,20.35
2072-12-31,20.75
2073-12-31,20.33
2074-12-31,20.4
2075-12-31,20.43
2076-12-31,20.8
2077-12-31,20.39
2078-12-31,20.43
2079-12-31,20.43
2080-12-31,20.32
2081-12-31,20.53
2082-12-31,20.58
2083-12-31,20.6
2084-12-31,20.38
2085-12-31,20.33
2086-12-31,20.48
2087-12-31,20.43
2088-12-31,20.44
2089-12-31,20.49
2090-12-31,20.45
2091-12-31,20.59
2092-12-31,20.82
2093-12-31,20.56
2094-12-31,20.55
2095-12-31,20.54
2096-12-31,20.55
2097-12-31,20.64
2098-12-31,20.46
2099-12-31,21.67
