,historical,rcp45,rcp85
1950-12-31,37.19,,
1951-12-31,35.78,,
1952-12-31,31.61,,
1953-12-31,35.85,,
1954-12-31,35.65,,
1955-12-31,39.41,,
1956-12-31,36.24,,
1957-12-31,44.06,,
1958-12-31,38.81,,
1959-12-31,34.26,,
1960-12-31,34.31,,
1961-12-31,36.15,,
1962-12-31,36.84,,
1963-12-31,39.54,,
1964-12-31,39.58,,
1965-12-31,35.17,,
1966-12-31,32.53,,
1967-12-31,32.13,,
1968-12-31,39.26,,
1969-12-31,31.16,,
1970-12-31,31.87,,
1971-12-31,37.03,,
1972-12-31,39.63,,
1973-12-31,38.02,,
1974-12-31,34.94,,
1975-12-31,41.43,,
1976-12-31,37.31,,
1977-12-31,33.56,,
1978-12-31,34.67,,
1979-12-31,35.73,,
1980-12-31,41.11,,
1981-12-31,44.23,,
1982-12-31,33.93,,
1983-12-31,35.85,,
1984-12-31,34.96,,
1985-12-31,33.26,,
1986-12-31,35.76,,
1987-12-31,42.26,,
1988-12-31,35.08,,
1989-12-31,37.91,,
1990-12-31,33.7,,
1991-12-31,40.57,,
1992-12-31,35.98,,
1993-12-31,37.39,,
1994-12-31,34.86,,
1995-12-31,36.11,,
1996-12-31,38.95,,
1997-12-31,40.82,,
1998-12-31,39.97,,
1999-12-31,32.64,,
2000-12-31,40.96,,
2001-12-31,35.42,,
2002-12-31,37.02,,
2003-12-31,46.21,,
2004-12-31,36.85,,
2005-12-31,37.79,,
2006-12-31,,37.98,38.66
2007-12-31,,40.62,37.61
2008-12-31,,35.86,40.95
2009-12-31,,42.31,39.17
2010-12-31,,37.66,35.78
2011-12-31,,33.72,36.3
2012-12-31,,38.26,35.82
2013-12-31,,39.42,37.63
2014-12-31,,37.71,37.25
2015-12-31,,36.4,37.02
2016-12-31,,39.12,43.08
2017-12-31,,35.65,44.38
2018-12-31,,38.97,34.66
2019-12-31,,37.89,34.6
2020-12-31,,37.4,38.86
2021-12-31,,44.54,39.04
2022-12-31,,31.32,43.62
2023-12-31,,35.93,38.73
2024-12-31,,35.18,41.83
2025-12-31,,40.76,38.59
2026-12-31,,38.25,40.67
2027-12-31,,36.63,44.07
2028-12-31,,36.69,40.49
2029-12-31,,42.04,34.09
2030-12-31,,36.3,40.38
2031-12-31,,39.85,42.44
2032-12-31,,40.46,42.08
2033-12-31,,36.91,39.22
2034-12-31,,37.59,35.71
2035-12-31,,38.37,40.85
2036-12-31,,40.96,38.25
2037-12-31,,38.38,35.48
2038-12-31,,37.9,43.24
2039-12-31,,39.09,34.54
2040-12-31,,37.94,42.54
2041-12-31,,35.57,42.27
2042-12-31,,39.94,37.42
2043-12-31,,42.18,37.62
2044-12-31,,39.68,41.42
2045-12-31,,37.56,41.91
2046-12-31,,40.81,39.97
2047-12-31,,38.63,41.5
2048-12-31,,40.28,46.98
2049-12-31,,39.57,39.59
2050-12-31,,39.85,45.79
2051-12-31,,41.06,44.92
2052-12-31,,43.85,43.82
2053-12-31,,38.31,37.35
2054-12-31,,37.62,45.16
2055-12-31,,40.67,40.0
2056-12-31,,40.02,41.82
2057-12-31,,39.49,42.03
2058-12-31,,45.24,37.15
2059-12-31,,39.51,43.01
2060-12-31,,45.87,36.51
2061-12-31,,42.24,43.34
2062-12-31,,40.38,46.12
2063-12-31,,39.82,45.02
2064-12-31,,38.1,43.12
2065-12-31,,42.87,40.02
2066-12-31,,40.01,41.16
2067-12-31,,37.13,36.29
2068-12-31,,46.26,44.65
2069-12-31,,40.64,41.39
2070-12-31,,40.57,47.51
2071-12-31,,40.52,43.92
2072-12-31,,39.02,46.43
2073-12-31,,40.56,39.24
2074-12-31,,39.97,43.02
2075-12-31,,39.73,41.05
2076-12-31,,40.07,46.19
2077-12-31,,42.23,45.75
2078-12-31,,48.5,46.81
2079-12-31,,35.27,45.19
2080-12-31,,39.7,42.93
2081-12-31,,42.94,45.73
2082-12-31,,41.39,44.72
2083-12-31,,37.64,45.9
2084-12-31,,44.06,41.64
2085-12-31,,41.73,53.22
2086-12-31,,43.89,47.21
2087-12-31,,43.44,48.2
2088-12-31,,44.03,45.45
2089-12-31,,40.13,44.16
2090-12-31,,41.05,47.48
2091-12-31,,38.32,44.87
2092-12-31,,46.05,50.32
2093-12-31,,46.35,44.64
2094-12-31,,40.25,51.72
2095-12-31,,41.24,49.26
2096-12-31,,40.27,45.66
2097-12-31,,47.42,48.39
2098-12-31,,44.07,47.64
2099-12-31,,46.23,48.62
