,historical,rcp45,rcp85
1950-12-31,22.34,,
1951-12-31,27.23,,
1952-12-31,24.24,,
1953-12-31,25.23,,
1954-12-31,27.44,,
1955-12-31,23.49,,
1956-12-31,24.79,,
1957-12-31,23.75,,
1958-12-31,24.82,,
1959-12-31,24.45,,
1960-12-31,22.69,,
1961-12-31,24.57,,
1962-12-31,22.21,,
1963-12-31,25.4,,
1964-12-31,24.49,,
1965-12-31,23.02,,
1966-12-31,24.81,,
1967-12-31,23.79,,
1968-12-31,25.38,,
1969-12-31,28.43,,
1970-12-31,26.88,,
1971-12-31,22.67,,
1972-12-31,23.54,,
1973-12-31,22.45,,
1974-12-31,26.55,,
1975-12-31,22.77,,
1976-12-31,26.2,,
1977-12-31,23.2,,
1978-12-31,26.04,,
1979-12-31,25.93,,
1980-12-31,23.53,,
1981-12-31,26.83,,
1982-12-31,26.32,,
1983-12-31,25.39,,
1984-12-31,28.33,,
1985-12-31,23.05,,
1986-12-31,26.54,,
1987-12-31,28.82,,
1988-12-31,24.41,,
1989-12-31,25.62,,
1990-12-31,27.63,,
1991-12-31,25.79,,
1992-12-31,23.3,,
1993-12-31,25.53,,
1994-12-31,21.77,,
1995-12-31,24.23,,
1996-12-31,24.55,,
1997-12-31,28.47,,
1998-12-31,23.81,,
1999-12-31,24.91,,
2000-12-31,23.76,,
2001-12-31,25.25,,
2002-12-31,25.91,,
2003-12-31,26.26,,
2004-12-31,26.68,,
2005-12-31,22.64,,
2006-12-31,,24.86,26.4
2007-12-31,,29.25,25.29
2008-12-31,,26.19,25.35
2009-12-31,,25.63,28.68
2010-12-31,,23.31,27.0
2011-12-31,,24.01,26.32
2012-12-31,,26.85,28.74
2013-12-31,,26.66,26.17
2014-12-31,,22.18,28.22
2015-12-31,,24.19,23.99
2016-12-31,,21.65,21.09
2017-12-31,,27.49,23.29
2018-12-31,,25.71,23.55
2019-12-31,,27.47,25.44
2020-12-31,,26.28,21.93
2021-12-31,,28.37,23.63
2022-12-31,,28.18,23.32
2023-12-31,,24.56,26.87
2024-12-31,,24.78,21.07
2025-12-31,,23.21,22.5
2026-12-31,,28.99,23.54
2027-12-31,,25.61,29.67
2028-12-31,,26.87,27.31
2029-12-31,,26.98,30.56
2030-12-31,,25.46,25.43
2031-12-31,,26.75,24.34
2032-12-31,,24.41,25.04
2033-12-31,,24.09,28.66
2034-12-31,,20.77,27.57
2035-12-31,,25.91,23.98
2036-12-31,,24.92,22.12
2037-12-31,,19.09,26.54
2038-12-31,,22.57,29.21
2039-12-31,,23.1,28.21
2040-12-31,,27.46,23.37
2041-12-31,,25.56,27.9
2042-12-31,,26.23,25.85
2043-12-31,,26.56,28.11
2044-12-31,,25.56,24.24
2045-12-31,,22.99,29.03
2046-12-31,,27.62,23.3
2047-12-31,,30.78,32.38
2048-12-31,,29.95,30.09
2049-12-31,,25.8,27.01
2050-12-31,,30.88,28.28
2051-12-31,,26.76,26.34
2052-12-31,,28.56,25.68
2053-12-31,,24.45,25.13
2054-12-31,,27.65,30.02
2055-12-31,,27.1,29.6
2056-12-31,,24.76,26.76
2057-12-31,,24.87,24.9
2058-12-31,,26.59,25.01
2059-12-31,,27.97,29.02
2060-12-31,,28.27,31.24
2061-12-31,,29.36,28.26
2062-12-31,,24.74,26.85
2063-12-31,,28.09,27.35
2064-12-31,,30.4,25.62
2065-12-31,,27.18,26.36
2066-12-31,,26.26,25.65
2067-12-31,,28.43,36.06
2068-12-31,,27.54,28.13
2069-12-31,,23.45,28.89
2070-12-31,,23.53,29.11
2071-12-31,,23.71,26.46
2072-12-31,,26.05,27.6
2073-12-31,,30.5,29.46
2074-12-31,,28.36,26.53
2075-12-31,,24.66,27.1
2076-12-31,,29.05,24.67
2077-12-31,,25.07,27.17
2078-12-31,,30.52,33.77
2079-12-31,,26.96,26.35
2080-12-31,,27.75,25.65
2081-12-31,,24.98,25.2
2082-12-31,,27.9,29.75
2083-12-31,,27.83,30.79
2084-12-31,,26.52,26.35
2085-12-31,,32.71,26.47
2086-12-31,,28.28,30.06
2087-12-31,,29.72,28.9
2088-12-31,,23.36,28.46
2089-12-31,,24.15,28.93
2090-12-31,,27.19,25.35
2091-12-31,,27.54,30.35
2092-12-31,,25.5,26.8
2093-12-31,,27.55,28.94
2094-12-31,,25.2,27.22
2095-12-31,,30.09,29.23
2096-12-31,,29.29,29.4
2097-12-31,,24.54,29.76
2098-12-31,,25.91,33.39
2099-12-31,,27.41,33.43
