,historical,rcp45,rcp85
1950-12-31,6106.58,,
1951-12-31,5975.06,,
1952-12-31,6033.77,,
1953-12-31,5951.23,,
1954-12-31,6059.63,,
1955-12-31,6086.1,,
1956-12-31,6021.48,,
1957-12-31,6090.53,,
1958-12-31,6056.92,,
1959-12-31,6050.64,,
1960-12-31,6129.62,,
1961-12-31,6016.07,,
1962-12-31,6020.01,,
1963-12-31,5971.77,,
1964-12-31,6296.41,,
1965-12-31,6301.28,,
1966-12-31,6228.59,,
1967-12-31,6050.99,,
1968-12-31,6237.06,,
1969-12-31,6216.99,,
1970-12-31,6253.47,,
1971-12-31,6090.62,,
1972-12-31,6130.54,,
1973-12-31,6025.66,,
1974-12-31,6210.55,,
1975-12-31,6065.2,,
1976-12-31,6100.91,,
1977-12-31,5981.68,,
1978-12-31,6073.37,,
1979-12-31,5827.53,,
1980-12-31,5892.07,,
1981-12-31,5859.03,,
1982-12-31,6035.16,,
1983-12-31,6159.04,,
1984-12-31,6064.76,,
1985-12-31,6006.44,,
1986-12-31,5880.4,,
1987-12-31,6012.54,,
1988-12-31,5903.34,,
1989-12-31,5872.35,,
1990-12-31,5956.72,,
1991-12-31,5730.45,,
1992-12-31,6114.61,,
1993-12-31,5930.45,,
1994-12-31,5839.47,,
1995-12-31,6046.49,,
1996-12-31,5909.11,,
1997-12-31,5737.07,,
1998-12-31,5631.05,,
1999-12-31,5805.8,,
2000-12-31,5674.32,,
2001-12-31,5845.13,,
2002-12-31,5668.91,,
2003-12-31,5692.68,,
2004-12-31,5580.39,,
2005-12-31,5270.74,,
2006-12-31,,5482.09,5519.87
2007-12-31,,5376.57,5533.79
2008-12-31,,5590.26,5555.89
2009-12-31,,5430.46,5588.75
2010-12-31,,5503.33,5672.79
2011-12-31,,5474.67,5470.41
2012-12-31,,5352.23,5346.43
2013-12-31,,5499.8,5491.7
2014-12-31,,5479.95,5408.9
2015-12-31,,5355.03,5543.91
2016-12-31,,5524.23,5397.1
2017-12-31,,5439.92,5322.12
2018-12-31,,5453.15,5258.71
2019-12-31,,5325.13,5340.01
2020-12-31,,5385.01,5314.62
2021-12-31,,5483.52,5234.41
2022-12-31,,5302.71,5254.88
2023-12-31,,5201.93,5233.89
2024-12-31,,5272.0,5236.18
2025-12-31,,5118.83,5296.1
2026-12-31,,5011.7,5173.81
2027-12-31,,5245.75,5249.06
2028-12-31,,5144.73,4993.71
2029-12-31,,5057.66,5027.1
2030-12-31,,5137.32,4957.4
2031-12-31,,5097.03,5184.62
2032-12-31,,5064.89,5252.53
2033-12-31,,4977.99,4939.34
2034-12-31,,5080.74,5014.73
2035-12-31,,5005.04,4929.74
2036-12-31,,5001.81,5033.45
2037-12-31,,5095.41,4880.05
2038-12-31,,5072.37,4913.94
2039-12-31,,5010.71,4898.46
2040-12-31,,5139.58,4897.89
2041-12-31,,4939.43,4852.44
2042-12-31,,5047.73,4754.73
2043-12-31,,4969.51,4749.9
2044-12-31,,4922.68,4889.87
2045-12-31,,4897.57,4799.86
2046-12-31,,4912.09,4671.36
2047-12-31,,4871.6,4686.96
2048-12-31,,4884.05,4726.54
2049-12-31,,4809.4,4611.64
2050-12-31,,4753.25,4493.77
2051-12-31,,4869.48,4630.85
2052-12-31,,4694.61,4572.95
2053-12-31,,4694.85,4467.44
2054-12-31,,4687.92,4449.98
2055-12-31,,4790.44,4403.03
2056-12-31,,4914.73,4440.8
2057-12-31,,4812.88,4311.48
2058-12-31,,4648.37,4347.96
2059-12-31,,4682.67,4295.61
2060-12-31,,4842.28,4320.82
2061-12-31,,4710.22,4294.56
2062-12-31,,4720.33,4255.96
2063-12-31,,4776.02,4278.41
2064-12-31,,4728.72,4256.93
2065-12-31,,4628.66,4220.05
2066-12-31,,4662.82,4140.87
2067-12-31,,4726.33,4222.35
2068-12-31,,4767.5,3944.89
2069-12-31,,4623.28,3974.86
2070-12-31,,4694.43,3952.19
2071-12-31,,4675.01,3976.69
2072-12-31,,4551.95,3994.79
2073-12-31,,4567.8,3956.54
2074-12-31,,4554.16,3991.98
2075-12-31,,4607.4,3868.49
2076-12-31,,4442.71,3933.77
2077-12-31,,4575.59,3945.43
2078-12-31,,4526.82,3799.36
2079-12-31,,4556.34,3793.72
2080-12-31,,4684.47,3920.5
2081-12-31,,4560.86,3729.81
2082-12-31,,4448.11,3659.42
2083-12-31,,4461.77,3765.31
2084-12-31,,4592.95,3744.6
2085-12-31,,4576.24,3691.34
2086-12-31,,4588.7,3611.18
2087-12-31,,4563.87,3658.15
2088-12-31,,4567.26,3623.45
2089-12-31,,4647.68,3626.51
2090-12-31,,4582.45,3613.31
2091-12-31,,4532.56,3532.27
2092-12-31,,4524.34,3571.57
2093-12-31,,4523.76,3431.71
2094-12-31,,4530.07,3450.27
2095-12-31,,4490.2,3523.63
2096-12-31,,4518.43,3474.89
2097-12-31,,4507.97,3415.33
2098-12-31,,4575.28,3358.78
2099-12-31,,3905.14,2963.35
