date,mean
2006-12-31,0.77
2007-12-31,0.65
2008-12-31,0.64
2009-12-31,0.67
2010-12-31,0.64
2011-12-31,0.65
2012-12-31,0.58
2013-12-31,0.63
2014-12-31,0.74
2015-12-31,0.63
2016-12-31,0.59
2017-12-31,0.68
2018-12-31,0.67
2019-12-31,0.55
2020-12-31,0.66
2021-12-31,0.61
2022-12-31,0.65
2023-12-31,0.66
2024-12-31,0.66
2025-12-31,0.74
2026-12-31,0.65
2027-12-31,0.72
2028-12-31,0.64
2029-12-31,0.69
2030-12-31,0.69
2031-12-31,0.64
2032-12-31,0.66
2033-12-31,0.69
2034-12-31,0.62
2035-12-31,0.63
2036-12-31,0.78
2037-12-31,0.67
2038-12-31,0.61
2039-12-31,0.6
2040-12-31,0.66
2041-12-31,0.58
2042-12-31,0.77
2043-12-31,0.76
2044-12-31,0.72
2045-12-31,0.62
2046-12-31,0.66
2047-12-31,0.67
2048-12-31,0.72
2049-12-31,0.64
2050-12-31,0.66
2051-12-31,0.6
2052-12-31,0.71
2053-12-31,0.73
2054-12-31,0.73
2055-12-31,0.72
2056-12-31,0.72
2057-12-31,0.63
2058-12-31,0.64
2059-12-31,0.71
2060-12-31,0.69
2061-12-31,0.72
2062-12-31,0.67
2063-12-31,0.8
2064-12-31,0.68
2065-12-31,0.72
2066-12-31,0.61
2067-12-31,0.71
2068-12-31,0.61
2069-12-31,0.66
2070-12-31,0.71
2071-12-31,0.7
2072-12-31,0.63
2073-12-31,0.72
2074-12-31,0.73
2075-12-31,0.7
2076-12-31,0.68
2077-12-31,0.71
2078-12-31,0.8
2079-12-31,0.77
2080-12-31,0.75
2081-12-31,0.67
2082-12-31,0.71
2083-12-31,0.66
2084-12-31,0.73
2085-12-31,0.67
2086-12-31,0.62
2087-12-31,0.63
2088-12-31,0.66
2089-12-31,0.68
2090-12-31,0.76
2091-12-31,0.73
2092-12-31,0.67
2093-12-31,0.63
2094-12-31,0.71
2095-12-31,0.72
2096-12-31,0.75
2097-12-31,0.74
2098-12-31,0.71
2099-12-31,0.74
