date,spei
2015-12-31,-0.22
2016-12-31,0.03
2017-12-31,-0.08
2018-12-31,-0.39
2019-12-31,-0.27
2020-12-31,-0.18
2021-12-31,0.04
2022-12-31,-0.06
2023-12-31,-0.39
2024-12-31,-0.44
2025-12-31,-0.57
2026-12-31,-0.29
2027-12-31,-0.21
2028-12-31,-0.2
2029-12-31,-0.43
2030-12-31,-0.43
2031-12-31,-0.23
2032-12-31,-0.16
2033-12-31,-0.8
2034-12-31,-0.77
2035-12-31,-0.24
2036-12-31,-0.55
2037-12-31,-0.54
2038-12-31,-0.65
2039-12-31,-0.38
2040-12-31,-0.32
2041-12-31,-0.95
2042-12-31,-0.65
2043-12-31,-0.51
2044-12-31,-0.39
2045-12-31,-0.73
2046-12-31,-0.5
2047-12-31,-0.65
2048-12-31,-0.2
2049-12-31,-0.95
2050-12-31,-1.09
2051-12-31,-0.71
2052-12-31,-0.8
2053-12-31,-0.44
2054-12-31,-0.63
2055-12-31,-1.39
2056-12-31,-0.64
2057-12-31,-0.5
2058-12-31,-0.16
2059-12-31,-0.74
2060-12-31,-0.83
2061-12-31,-0.84
2062-12-31,-0.48
2063-12-31,-0.29
2064-12-31,-0.65
2065-12-31,-1.15
2066-12-31,-0.47
2067-12-31,-1.11
2068-12-31,-0.95
2069-12-31,-0.89
2070-12-31,-0.13
2071-12-31,-0.74
2072-12-31,-0.52
2073-12-31,-0.64
2074-12-31,-0.59
2075-12-31,-0.36
2076-12-31,-0.69
2077-12-31,-0.98
2078-12-31,-0.47
2079-12-31,-1.04
2080-12-31,-1.52
2081-12-31,-0.89
2082-12-31,-1.23
2083-12-31,-0.89
2084-12-31,-0.78
2085-12-31,-0.75
2086-12-31,-1.44
2087-12-31,-1.53
2088-12-31,-1.62
2089-12-31,-1.07
2090-12-31,-0.65
2091-12-31,-1.01
2092-12-31,-0.95
2093-12-31,-0.65
2094-12-31,-1.22
2095-12-31,-1.28
2096-12-31,-0.41
2097-12-31,-0.99
2098-12-31,-0.97
2099-12-31,-0.95
2100-12-31,-1.0
