date,mean
2006-12-31,0.59
2007-12-31,0.55
2008-12-31,0.57
2009-12-31,0.59
2010-12-31,0.62
2011-12-31,0.56
2012-12-31,0.57
2013-12-31,0.56
2014-12-31,0.51
2015-12-31,0.54
2016-12-31,0.62
2017-12-31,0.61
2018-12-31,0.59
2019-12-31,0.57
2020-12-31,0.56
2021-12-31,0.57
2022-12-31,0.61
2023-12-31,0.69
2024-12-31,0.58
2025-12-31,0.7
2026-12-31,0.59
2027-12-31,0.67
2028-12-31,0.6
2029-12-31,0.61
2030-12-31,0.57
2031-12-31,0.64
2032-12-31,0.63
2033-12-31,0.58
2034-12-31,0.59
2035-12-31,0.62
2036-12-31,0.61
2037-12-31,0.6
2038-12-31,0.64
2039-12-31,0.55
2040-12-31,0.58
2041-12-31,0.59
2042-12-31,0.57
2043-12-31,0.6
2044-12-31,0.64
2045-12-31,0.63
2046-12-31,0.64
2047-12-31,0.61
2048-12-31,0.63
2049-12-31,0.63
2050-12-31,0.61
2051-12-31,0.62
2052-12-31,0.68
2053-12-31,0.66
2054-12-31,0.63
2055-12-31,0.61
2056-12-31,0.66
2057-12-31,0.62
2058-12-31,0.58
2059-12-31,0.63
2060-12-31,0.67
2061-12-31,0.62
2062-12-31,0.63
2063-12-31,0.6
2064-12-31,0.59
2065-12-31,0.64
2066-12-31,0.66
2067-12-31,0.63
2068-12-31,0.58
2069-12-31,0.63
2070-12-31,0.65
2071-12-31,0.67
2072-12-31,0.67
2073-12-31,0.61
2074-12-31,0.65
2075-12-31,0.61
2076-12-31,0.69
2077-12-31,0.65
2078-12-31,0.65
2079-12-31,0.67
2080-12-31,0.65
2081-12-31,0.7
2082-12-31,0.62
2083-12-31,0.68
2084-12-31,0.61
2085-12-31,0.76
2086-12-31,0.68
2087-12-31,0.66
2088-12-31,0.6
2089-12-31,0.68
2090-12-31,0.74
2091-12-31,0.72
2092-12-31,0.67
2093-12-31,0.65
2094-12-31,0.67
2095-12-31,0.7
2096-12-31,0.66
2097-12-31,0.65
2098-12-31,0.68
2099-12-31,0.62
