date,mean
2006-12-31,2.54
2007-12-31,2.66
2008-12-31,2.61
2009-12-31,2.58
2010-12-31,2.83
2011-12-31,2.63
2012-12-31,2.62
2013-12-31,2.68
2014-12-31,2.72
2015-12-31,2.6
2016-12-31,2.82
2017-12-31,2.68
2018-12-31,2.67
2019-12-31,2.54
2020-12-31,2.55
2021-12-31,2.8
2022-12-31,2.78
2023-12-31,2.62
2024-12-31,2.77
2025-12-31,2.65
2026-12-31,2.6
2027-12-31,2.66
2028-12-31,2.59
2029-12-31,2.66
2030-12-31,2.68
2031-12-31,2.76
2032-12-31,2.71
2033-12-31,2.6
2034-12-31,2.5
2035-12-31,2.66
2036-12-31,2.8
2037-12-31,2.76
2038-12-31,2.62
2039-12-31,2.76
2040-12-31,2.52
2041-12-31,2.74
2042-12-31,2.66
2043-12-31,2.4
2044-12-31,2.82
2045-12-31,2.63
2046-12-31,2.64
2047-12-31,2.69
2048-12-31,2.64
2049-12-31,2.65
2050-12-31,2.68
2051-12-31,2.66
2052-12-31,2.72
2053-12-31,2.55
2054-12-31,2.79
2055-12-31,2.74
2056-12-31,2.63
2057-12-31,2.67
2058-12-31,2.63
2059-12-31,2.68
2060-12-31,2.87
2061-12-31,3.02
2062-12-31,2.73
2063-12-31,2.65
2064-12-31,2.75
2065-12-31,2.69
2066-12-31,2.91
2067-12-31,2.74
2068-12-31,2.88
2069-12-31,2.77
2070-12-31,2.77
2071-12-31,2.66
2072-12-31,2.61
2073-12-31,2.89
2074-12-31,2.53
2075-12-31,2.59
2076-12-31,2.58
2077-12-31,2.75
2078-12-31,2.77
2079-12-31,2.7
2080-12-31,2.82
2081-12-31,2.78
2082-12-31,2.65
2083-12-31,2.5
2084-12-31,2.89
2085-12-31,2.55
2086-12-31,2.72
2087-12-31,2.71
2088-12-31,2.75
2089-12-31,2.85
2090-12-31,2.79
2091-12-31,2.62
2092-12-31,2.68
2093-12-31,2.68
2094-12-31,2.55
2095-12-31,2.75
2096-12-31,2.81
2097-12-31,2.71
2098-12-31,2.67
2099-12-31,2.76
