date,spei
1981-12-31,0.27
1982-12-31,-0.17
1983-12-31,-0.34
1984-12-31,0.09
1985-12-31,0.24
1986-12-31,0.13
1987-12-31,0.42
1988-12-31,0.49
1989-12-31,0.08
1990-12-31,0.13
1991-12-31,0.26
1992-12-31,0.27
1993-12-31,-0.13
1994-12-31,-0.02
1995-12-31,-0.11
1996-12-31,-0.12
1997-12-31,-0.0
1998-12-31,-0.14
1999-12-31,-0.01
2000-12-31,0.26
2001-12-31,0.05
2002-12-31,-0.04
2003-12-31,-0.07
2004-12-31,-0.21
2005-12-31,-0.04
2006-12-31,-0.19
2007-12-31,-0.16
2008-12-31,-0.54
2009-12-31,-0.33
2010-12-31,0.31
2011-12-31,0.52
2012-12-31,-0.31
2013-12-31,-0.42
2014-12-31,-0.32
