,historical,rcp45,rcp85
1950-12-31,1730.0443896484448,,
1951-12-31,1665.2487355259561,,
1952-12-31,1672.966147286559,,
1953-12-31,1734.8877215576247,,
1954-12-31,1731.0339739990304,,
1955-12-31,1726.68330566407,,
1956-12-31,1706.4947501046388,,
1957-12-31,1656.0284966169156,,
1958-12-31,1662.3235722133165,,
1959-12-31,1696.4954854038858,,
1960-12-31,1661.8308402797225,,
1961-12-31,1626.1930259486678,,
1962-12-31,1704.6113970947335,,
1963-12-31,1682.953331124449,,
1964-12-31,1621.1823069545273,,
1965-12-31,1599.4380738176685,,
1966-12-31,1570.9615700858053,,
1967-12-31,1648.112063162675,,
1968-12-31,1637.6243571254254,,
1969-12-31,1611.0466946847166,,
1970-12-31,1637.6809586007328,,
1971-12-31,1620.3677321951805,,
1972-12-31,1683.6033033970493,,
1973-12-31,1688.7567490931992,,
1974-12-31,1650.9201504080709,,
1975-12-31,1625.7854554094658,,
1976-12-31,1650.821730695459,,
1977-12-31,1736.9449073137623,,
1978-12-31,1767.3783126395163,,
1979-12-31,1736.7781599644327,,
1980-12-31,1736.0315544782438,,
1981-12-31,1772.5884366280766,,
1982-12-31,1688.0185537283833,,
1983-12-31,1584.2740672084335,,
1984-12-31,1705.8531275286066,,
1985-12-31,1777.0160708182277,,
1986-12-31,1771.1670522635395,,
1987-12-31,1725.552091587619,,
1988-12-31,1783.6360236467708,,
1989-12-31,1798.5529439871725,,
1990-12-31,1786.927691301626,,
1991-12-31,1765.105245971687,,
1992-12-31,1676.1223975481375,,
1993-12-31,1650.5645104980538,,
1994-12-31,1823.747839704248,,
1995-12-31,1770.312661045627,,
1996-12-31,1801.4311712646556,,
1997-12-31,1816.477718854639,,
1998-12-31,1915.275541730616,,
1999-12-31,1858.3520108468267,,
2000-12-31,1928.4440311976916,,
2001-12-31,1868.5494500732495,,
2002-12-31,1904.2238174874517,,
2003-12-31,1882.0175319998682,,
2004-12-31,1933.9343508475247,,
2005-12-31,1894.244337942948,,
2006-12-31,,1963.8402382986962,2036.960595877519
2007-12-31,,1996.5625456891814,2035.8721612548902
