,historical,rcp45,rcp85
1950-12-31,2088.375316598067,,
1951-12-31,2041.4673115757455,,
1952-12-31,2049.3115897914263,,
1953-12-31,1984.3506749616274,,
1954-12-31,2031.572726527615,,
1955-12-31,1997.1711771065768,,
1956-12-31,2051.8221405901145,,
1957-12-31,2115.9130464390264,,
1958-12-31,2110.7328473772236,,
1959-12-31,2032.856637398848,,
1960-12-31,2029.9552670723974,,
1961-12-31,1965.176605311794,,
1962-12-31,2009.1579019600929,,
1963-12-31,1958.1499990408684,,
1964-12-31,2122.311041085371,,
1965-12-31,2146.4473773193276,,
1966-12-31,2171.8381600516104,,
1967-12-31,2072.4790161132732,,
1968-12-31,2125.8425483049587,,
1969-12-31,2108.917859061097,,
1970-12-31,2119.6104664829722,,
1971-12-31,2091.5411945451933,,
1972-12-31,2130.4379492187427,,
1973-12-31,2059.5403363037035,,
1974-12-31,2080.1843755231507,,
1975-12-31,2050.414069998597,,
1976-12-31,2101.416969168519,,
1977-12-31,1991.6209492710577,,
1978-12-31,2042.430179443351,,
1979-12-31,2023.9737148611803,,
1980-12-31,1996.3751192801262,,
1981-12-31,2067.538402186795,,
1982-12-31,2074.786287057051,,
1983-12-31,2055.487900390617,,
1984-12-31,2058.9731127057685,,
1985-12-31,2024.761246425076,,
1986-12-31,1968.0559865896967,,
1987-12-31,1982.7960818045406,,
1988-12-31,1925.9309329659525,,
1989-12-31,1970.3346160016663,,
1990-12-31,1962.5373008509964,,
1991-12-31,1944.8098393031455,,
1992-12-31,2036.9607203020284,,
1993-12-31,2055.3094655064097,,
1994-12-31,1969.518819449281,,
1995-12-31,2027.2410676792615,,
1996-12-31,1980.189491751527,,
1997-12-31,1930.1397244698583,,
1998-12-31,1847.2202665492393,,
1999-12-31,1940.9407816859577,,
2000-12-31,1903.5363177490162,,
2001-12-31,1921.5693832833356,,
2002-12-31,1799.3570437186036,,
2003-12-31,1899.516920340394,,
2004-12-31,1868.062414027615,,
2005-12-31,1704.566817975718,,
2006-12-31,,1752.61873125348,1814.6439712088375
2007-12-31,,1787.3934756905621,1805.2113759068009
2008-12-31,,1865.3675248500203,1884.6803349958068
2009-12-31,,1771.0621037074425,1838.8332783726207
2010-12-31,,1725.0240041678217,1931.8227897425986
2011-12-31,,1720.9827762276716,1756.250258091511
2012-12-31,,1681.8181838553223,1775.581889212465
2013-12-31,,1776.8007189941334,1859.3767477852884
2014-12-31,,1826.107159946979,1788.0685900006904
2015-12-31,,1765.6674308558802,1706.3746082414825
2016-12-31,,1830.9670882742669,1730.9857058279779
2017-12-31,,1823.8786318533687,1666.2086662074428
2018-12-31,,1804.570263671868,1683.1659897286484
2019-12-31,,1733.8876410783969,1751.4309211948869
2020-12-31,,1686.9191135079448,1665.6763143484864
2021-12-31,,1772.7439072091165,1712.9392920793737
2022-12-31,,1700.8164933994765,1645.322643345417
2023-12-31,,1641.8183170863492,1614.9146619524206
2024-12-31,,1628.1637108503003,1671.963712071003
2025-12-31,,1663.8630370221751,1669.3626722063266
2026-12-31,,1560.1141014753002,1619.5113674490726
2027-12-31,,1712.3508592878,1680.7183319091723
2028-12-31,,1618.4253811209467,1524.0618491908413
2029-12-31,,1580.9327125767227,1510.3041288539275
2030-12-31,,1628.9213636125767,1535.4357047816618
2031-12-31,,1615.6874843052387,1648.4669791957244
2032-12-31,,1589.8435004533974,1692.7987697928224
2033-12-31,,1560.5588178362098,1617.6314328438827
2034-12-31,,1567.4622956194125,1612.334685320166
2035-12-31,,1619.355931832443,1507.6209649658138
2036-12-31,,1621.4289157540388,1590.8313231549878
2037-12-31,,1622.6543943568574,1491.7164065987656
2038-12-31,,1587.4265553501605,1507.2511543491842
2039-12-31,,1580.6578914969239,1503.504633004318
2040-12-31,,1619.3673899623257,1516.6010721261096
2041-12-31,,1555.4899229213102,1507.821138131271
2042-12-31,,1557.470599016455,1457.449603533057
2043-12-31,,1574.914285714279,1494.887232578816
2044-12-31,,1528.9574053955014,1507.5606803675994
2045-12-31,,1523.1222795758863,1397.6862348283976
2046-12-31,,1510.768600899826,1359.6545566231803
2047-12-31,,1440.6725054931574,1428.9735817173485
2048-12-31,,1535.6295685686314,1385.7236740548205
2049-12-31,,1492.723507864809,1381.598207135875
2050-12-31,,1413.6022527204175,1339.0143574741846
2051-12-31,,1453.2635892159533,1345.7395216587545
2052-12-31,,1344.5302305384982,1320.9977536446645
2053-12-31,,1403.237856096534,1272.3968185860706
2054-12-31,,1429.115017700189,1303.0112422398097
2055-12-31,,1409.986801757806,1317.3513992745475
2056-12-31,,1557.958758719301,1317.911234741205
2057-12-31,,1437.4514617047923,1249.62930044991
2058-12-31,,1334.962824968604,1242.9906356375495
2059-12-31,,1385.2852278355126,1219.4959422956138
2060-12-31,,1496.4364324951105,1191.3447341482922
2061-12-31,,1372.5269260079458,1246.377083391456
2062-12-31,,1381.3656690324992,1221.7354023088667
2063-12-31,,1479.8580039759981,1204.2832407052117
2064-12-31,,1406.3879826136933,1174.3621325683537
2065-12-31,,1336.4088374546534,1193.063086809425
2066-12-31,,1372.4493865966735,1164.700008283337
2067-12-31,,1394.181831141874,1138.2173300606805
2068-12-31,,1388.8993911307134,1074.4313080705858
2069-12-31,,1379.8390283203062,1018.1157633754129
2070-12-31,,1401.2837926374102,1067.006190795893
2071-12-31,,1412.1861625453337,1061.392433210095
2072-12-31,,1275.1342930384985,1051.144020036964
2073-12-31,,1323.7519666399212,1108.321232125413
2074-12-31,,1337.023168509341,1104.7967980956973
2075-12-31,,1351.9083073207248,1010.3798639787892
2076-12-31,,1310.2941288539278,1015.0917304338674
2077-12-31,,1356.6411238316064,1055.2978969028961
2078-12-31,,1338.7333724539558,940.6335812813841
2079-12-31,,1318.5017939104293,1002.6495133754133
