,historical,rcp45,rcp85
1950-12-31,1110.6839556012783,,
1951-12-31,1087.9792195347325,,
1952-12-31,1097.7192390659827,,
1953-12-31,1085.2890481131365,,
1954-12-31,1091.3096682303242,,
1955-12-31,1147.488487810402,,
1956-12-31,1150.7280875069703,,
1957-12-31,1109.7577082170708,,
1958-12-31,1078.7968639264734,,
1959-12-31,1163.9730029296825,,
1960-12-31,1095.9791390555192,,
1961-12-31,1162.8729796491298,,
1962-12-31,1139.578193446563,,
1963-12-31,1080.0157045200838,,
1964-12-31,1181.7314530726787,,
1965-12-31,1189.044013235904,,
1966-12-31,1130.7238365827236,,
1967-12-31,1110.5225859723719,,
1968-12-31,1202.193623308449,,
1969-12-31,1166.41968340192,,
1970-12-31,1215.5895776367133,,
1971-12-31,1148.1009303501621,,
1972-12-31,1110.7767283412334,,
1973-12-31,1085.710498308449,,
1974-12-31,1136.1459616524783,,
1975-12-31,1085.7005888148663,,
1976-12-31,1163.4664309256364,,
1977-12-31,1146.5335661097881,,
1978-12-31,1105.2401321847044,,
1979-12-31,1022.8029563685777,,
1980-12-31,1100.5529585484046,,
1981-12-31,1054.6825217982648,,
1982-12-31,1170.677025582445,,
1983-12-31,1157.626459699353,,
1984-12-31,1135.9228310721207,,
1985-12-31,1077.6894402204189,,
1986-12-31,1047.430471888946,,
1987-12-31,1099.3696750313845,,
1988-12-31,1108.615920410151,,
1989-12-31,1091.4496883719257,,
1990-12-31,1145.3648244803242,,
1991-12-31,1000.0689487130251,,
1992-12-31,1232.9595526994922,,
1993-12-31,1147.2900236293194,,
1994-12-31,1084.2241733223998,,
1995-12-31,1083.8707649448888,,
1996-12-31,1047.0551258196099,,
1997-12-31,994.3660397774785,,
1998-12-31,995.4687390136669,,
1999-12-31,1026.8692961774502,,
2000-12-31,1064.0462953403967,,
2001-12-31,1048.681143624437,,
2002-12-31,1025.4822344970653,,
2003-12-31,944.3788194056873,,
2004-12-31,1088.220170375274,,
2005-12-31,870.9466462925458,,
2006-12-31,,969.5532217843144,989.7615766252744
