,historical,rcp45,rcp85
1950-12-31,0.0,,
1951-12-31,0.0,,
1952-12-31,0.0,,
1953-12-31,0.0,,
1954-12-31,0.0,,
1955-12-31,0.0,,
1956-12-31,0.0,,
1957-12-31,0.0,,
1958-12-31,0.0,,
1959-12-31,0.0,,
1960-12-31,0.0,,
1961-12-31,0.0,,
1962-12-31,0.0,,
1963-12-31,0.0,,
1964-12-31,0.0,,
1965-12-31,0.0,,
1966-12-31,0.0,,
1967-12-31,0.0,,
1968-12-31,0.0,,
1969-12-31,0.0,,
1970-12-31,0.0,,
1971-12-31,0.0,,
1972-12-31,0.0,,
1973-12-31,0.0,,
1974-12-31,0.0,,
1975-12-31,0.0,,
1976-12-31,0.0,,
1977-12-31,0.0,,
1978-12-31,0.0,,
1979-12-31,0.0,,
1980-12-31,0.0,,
1981-12-31,0.0,,
1982-12-31,0.0,,
1983-12-31,0.0,,
1984-12-31,0.0,,
1985-12-31,0.0,,
1986-12-31,0.0,,
1987-12-31,0.0,,
1988-12-31,0.0,,
1989-12-31,0.0,,
1990-12-31,0.0,,
1991-12-31,0.0,,
1992-12-31,0.0,,
1993-12-31,0.0,,
1994-12-31,0.0,,
1995-12-31,0.0,,
1996-12-31,0.0,,
1997-12-31,0.0,,
1998-12-31,0.0,,
1999-12-31,0.0,,
2000-12-31,0.0,,
2001-12-31,0.0,,
2002-12-31,0.0,,
2003-12-31,0.0,,
2004-12-31,0.0,,
2005-12-31,0.0,,
2006-12-31,,0.0,0.0
2007-12-31,,0.0,0.0
2008-12-31,,0.0,0.0
2009-12-31,,0.0,0.0
2010-12-31,,0.0,0.0
2011-12-31,,0.0,0.0
2012-12-31,,0.0,0.0
2013-12-31,,0.0,0.0
2014-12-31,,0.0,0.0
2015-12-31,,0.0,0.0
2016-12-31,,0.0,0.0
2017-12-31,,0.0,0.0
2018-12-31,,0.0,0.0
2019-12-31,,0.0,0.0
2020-12-31,,0.0,0.0
2021-12-31,,0.0,0.0
2022-12-31,,0.0,0.0
2023-12-31,,0.0,0.0
2024-12-31,,0.0,0.0
2025-12-31,,0.0,0.0
2026-12-31,,0.0,0.0
2027-12-31,,0.0,0.0
2028-12-31,,0.0,0.0
2029-12-31,,0.0,0.0
2030-12-31,,0.0,0.0
2031-12-31,,0.0,0.0
2032-12-31,,0.0,0.0
2033-12-31,,0.0,0.0
2034-12-31,,0.0,0.0
2035-12-31,,0.0,0.0
2036-12-31,,0.0,0.0
2037-12-31,,0.0,0.0
2038-12-31,,0.0,0.0
2039-12-31,,0.0,0.0
2040-12-31,,0.0,0.0
2041-12-31,,0.0,0.0
2042-12-31,,0.0,0.0
2043-12-31,,0.0,0.0
2044-12-31,,0.0,0.01151652018229348
2045-12-31,,0.0,0.0
2046-12-31,,0.0,0.0
2047-12-31,,0.0,0.0
2048-12-31,,0.0,0.0
2049-12-31,,0.0,0.0
2050-12-31,,0.0,0.11484735398065907
2051-12-31,,0.0,0.0
2052-12-31,,0.0,0.0
2053-12-31,,0.0,0.0
2054-12-31,,0.0,0.0
2055-12-31,,0.1912938871837834,0.07526076543899018
2056-12-31,,0.015332147507444509,0.021409447079615045
2057-12-31,,0.0,0.006405261811758172
2058-12-31,,0.0,0.0
2059-12-31,,0.0,0.03679080054873956
2060-12-31,,0.0,0.0
2061-12-31,,0.0,0.0
2062-12-31,,0.0,0.2489647565569252
2063-12-31,,0.0,0.2828907703218095
2064-12-31,,0.0,0.1646631731305923
2065-12-31,,0.0,0.42445550827754563
2066-12-31,,0.0,0.12640261695498875
2067-12-31,,0.014272257486981386,0.33819271995909145
2068-12-31,,0.0,0.6228998093378082
2069-12-31,,0.03162542433965955,0.6119911702474226
2070-12-31,,0.11963425409226554,0.30466791062129533
2071-12-31,,0.24286638532367785,0.15972848074777887
2072-12-31,,0.0,1.0016285051618656
2073-12-31,,0.03978015718006134,1.0852060081845558
2074-12-31,,0.0,0.23745053245908462
2075-12-31,,0.0,2.3758458600725922
2076-12-31,,0.1434924025762671,1.0222612072172876
2077-12-31,,0.0,1.0838155691964704
2078-12-31,,0.0,1.279424525669684
2079-12-31,,0.0,1.4628935895647721
2080-12-31,,0.0,3.2531477283297
2081-12-31,,0.009077787853426247,1.7537627011254258
2082-12-31,,0.0,1.748596685500434
2083-12-31,,0.0,1.1276404099237878
2084-12-31,,0.04890110560826464,1.9998894973028936
2085-12-31,,0.008691464378722051,2.3157085019066868
2086-12-31,,0.00310543968564183,6.821073899042146
2087-12-31,,0.2189241827102014,3.551617954799184
2088-12-31,,0.2116213843936108,6.561996692475943
2089-12-31,,0.30800368536087047,1.4014332798549636
2090-12-31,,0.0,5.693318626767209
2091-12-31,,0.0,3.865571928478515
2092-12-31,,0.0,8.671713779994583
2093-12-31,,0.0,9.356936180478241
2094-12-31,,0.0,13.142693859282256
2095-12-31,,0.09981930687314795,4.309241420201003
2096-12-31,,0.0,12.585882045201142
2097-12-31,,0.024795288085939404,9.90856727236814
2098-12-31,,0.0,8.664702177502038
2099-12-31,,0.10294241333008003,13.075525716146092
