,historical,rcp45,rcp85
1950-12-31,6204.341794607968,,
1951-12-31,6044.789330357131,,
1952-12-31,6123.489890267498,,
1953-12-31,6064.2279426792575,,
1954-12-31,6170.7739414759935,,
1955-12-31,6190.061102730877,,
1956-12-31,6149.540739920469,,
1957-12-31,6185.683146841855,,
1958-12-31,6134.451875828323,,
1959-12-31,6159.751723850783,,
1960-12-31,6233.468721400657,,
1961-12-31,6113.936539829788,,
1962-12-31,6122.415054408471,,
1963-12-31,6090.685095999569,,
1964-12-31,6389.523186863477,,
1965-12-31,6408.662176513661,,
1966-12-31,6315.087050650449,,
1967-12-31,6162.405466831742,,
1968-12-31,6353.0496601649575,,
1969-12-31,6303.378888724179,,
1970-12-31,6343.724323904845,,
1971-12-31,6178.4719198172315,,
1972-12-31,6220.463006591785,,
1973-12-31,6110.172048209041,,
1974-12-31,6303.505779549722,,
1975-12-31,6181.484120221808,,
1976-12-31,6198.537767159586,,
1977-12-31,6098.636270969924,,
1978-12-31,6157.253771405891,,
1979-12-31,5942.73641706193,,
1980-12-31,5981.892028154634,,
1981-12-31,5985.757583356573,,
1982-12-31,6165.8293282209015,,
1983-12-31,6235.737605678001,,
1984-12-31,6148.234983302515,,
1985-12-31,6101.417168884266,,
1986-12-31,5996.1975349644135,,
1987-12-31,6079.931582946766,,
1988-12-31,5994.754190717412,,
1989-12-31,5948.820614449626,,
1990-12-31,6065.251032148079,,
1991-12-31,5800.79892211913,,
1992-12-31,6225.714120483386,,
1993-12-31,6029.637835998526,,
1994-12-31,5941.330166407983,,
1995-12-31,6126.986380310048,,
1996-12-31,5986.476268964485,,
1997-12-31,5835.939386117107,,
1998-12-31,5742.355596705835,,
1999-12-31,5891.526789594366,,
2000-12-31,5783.600956682467,,
2001-12-31,5943.048150809141,,
2002-12-31,5777.910808846599,,
2003-12-31,5776.936598379943,,
2004-12-31,5682.108994925353,,
2005-12-31,5357.584335545121,,
2006-12-31,,5579.488226056768,5621.557870614175
2007-12-31,,5469.4754313005615,5649.7575112043
2008-12-31,,5697.997310573021,5641.362063380638
2009-12-31,,5514.503874598901,5691.235083356574
2010-12-31,,5607.890766601552,5785.165704912446
2011-12-31,,5566.100146135593,5604.662877371641
2012-12-31,,5452.789338466087,5442.858027954091
2013-12-31,,5595.050866699209,5613.976122436513
2014-12-31,,5574.252510811932,5503.213471461693
2015-12-31,,5479.543983197881,5645.273948015475
2016-12-31,,5642.90775163922,5498.759620840878
2017-12-31,,5546.320221862781,5401.283286743153
2018-12-31,,5572.020182407912,5361.267692129942
2019-12-31,,5416.394173758359,5428.680844595763
2020-12-31,,5500.092596915098,5415.267276785703
2021-12-31,,5566.9114159720175,5333.620805664052
2022-12-31,,5396.704959585997,5341.60090737478
2023-12-31,,5301.369995771126,5341.99663469586
2024-12-31,,5363.005430951789,5338.336669398706
2025-12-31,,5230.15922528947,5378.127601143961
2026-12-31,,5085.78635711669,5275.068032182955
2027-12-31,,5356.128176356714,5325.579467468251
2028-12-31,,5232.929892098553,5111.217898690349
2029-12-31,,5167.878804757243,5107.058115190767
2030-12-31,,5239.652702505919,5064.873768136149
2031-12-31,,5188.039447806212,5258.094285409099
2032-12-31,,5163.510386308933,5334.631666608529
2033-12-31,,5099.5956785365415,5039.86192866733
