,historical,rcp45,rcp85
1950-12-31,908.9230470493816,,
1951-12-31,887.6470834786504,,
1952-12-31,888.1820530482655,,
1953-12-31,882.5933247593424,,
1954-12-31,896.9963293456984,,
1955-12-31,937.4519526018369,,
1956-12-31,945.1972523716471,,
1957-12-31,909.0179661342031,,
1958-12-31,870.5862956019761,,
1959-12-31,955.9683754185221,,
1960-12-31,889.5377952357653,,
1961-12-31,957.4636351667085,,
1962-12-31,936.6748897007488,,
1963-12-31,880.1973731340635,,
1964-12-31,966.7512904575846,,
1965-12-31,972.7681937081421,,
1966-12-31,926.6352975027856,,
1967-12-31,908.2116789899507,,
1968-12-31,986.5659678431872,,
1969-12-31,958.8516519600956,,
1970-12-31,998.526055646619,,
1971-12-31,942.1628301129973,,
1972-12-31,906.715929565425,,
1973-12-31,880.695714634482,,
1974-12-31,932.3532227434383,,
1975-12-31,879.7945532226515,,
1976-12-31,957.7763545444988,,
1977-12-31,938.4752579171268,,
1978-12-31,900.5156255231536,,
1979-12-31,832.2489947509722,,
1980-12-31,896.2087502615746,,
1981-12-31,854.0166602434384,,
1982-12-31,964.022546299521,,
1983-12-31,946.7017101178802,,
1984-12-31,935.9370220075291,,
1985-12-31,878.5916973876909,,
1986-12-31,846.4522407749677,,
1987-12-31,896.7381617954753,,
1988-12-31,911.2928359549342,,
1989-12-31,893.4333194405647,,
1990-12-31,941.8823587472053,,
1991-12-31,811.0369024658158,,
1992-12-31,1013.8257317243254,,
1993-12-31,934.6545955984888,,
1994-12-31,884.6162270682153,,
1995-12-31,878.4119477190243,,
1996-12-31,853.7415786307155,,
1997-12-31,801.4771486118817,,
1998-12-31,804.732958461212,,
1999-12-31,830.0144768415134,,
2000-12-31,867.3251879010836,,
2001-12-31,851.8875276402019,,
2002-12-31,826.682143816262,,
2003-12-31,754.4912738037068,,
2004-12-31,886.7129464285671,,
2005-12-31,700.5689705112964,,
2006-12-31,,789.1159869384722,802.3962354387515
2007-12-31,,703.62847752162,782.4278830391978
2008-12-31,,792.409891531804,780.2259056745215
2009-12-31,,749.0946085902582,804.6095041329477
2010-12-31,,816.9424383544879,823.4728457205595
2011-12-31,,800.1428356061621,790.9097181047671
2012-12-31,,742.4365354701409,735.5145279366591
2013-12-31,,796.3906419154536,768.7960517229312
2014-12-31,,761.618693934845,814.221072300498
2015-12-31,,767.7814562988239,831.1993218122165
2016-12-31,,737.267168143132,770.0106476701966
2017-12-31,,766.9523918805763,743.3676045444993
2018-12-31,,724.7475925990473,734.9767563302136
2019-12-31,,727.2505507986846,680.6776766531767
2020-12-31,,704.5859139578644,703.9075163051019
2021-12-31,,728.7879760742146,716.0921371023958
2022-12-31,,711.9303036934949,683.8880911690808
2023-12-31,,685.0333608572785,703.7972230747727
2024-12-31,,715.6107926722894,654.6356891741033
2025-12-31,,695.0047698974569,645.0626431710341
2026-12-31,,684.4549822998006,631.4470617675743
2027-12-31,,684.3877238246333,728.7805037144213
2028-12-31,,673.1797416468991,671.8773052978477
2029-12-31,,673.8151410784003,651.593710937496
2030-12-31,,601.6915998186347,607.6288264683278
2031-12-31,,660.6048932756656,658.7380760846781
2032-12-31,,653.2025982665979,641.3484259033166
2033-12-31,,669.7217638288189,619.5705486188581
2034-12-31,,631.0731946672674,638.8405752999404
2035-12-31,,572.7837345668212,605.1542657470667
2036-12-31,,612.2317938232387,629.301154174801
2037-12-31,,684.4198930140865,653.0027196393656
2038-12-31,,637.7338480922117,582.059658639087
2039-12-31,,587.1100816127198,571.7833512660397
2040-12-31,,668.6374556187183,623.378991524829
2041-12-31,,613.8472757393938,580.6898626708949
2042-12-31,,678.2603757149795,578.1999162074462
2043-12-31,,632.4398891775911,508.7518806675469
2044-12-31,,601.3766932024238,571.2836542619942
2045-12-31,,652.7353070940253,560.7768309674912
2046-12-31,,573.0167963518381,558.0598604038748
2047-12-31,,616.5219274030378,548.209626203261
2048-12-31,,633.3660411725689,540.202997654503
2049-12-31,,570.5274632045166,532.4589147949185
2050-12-31,,627.3624992152587,503.2915266636407
2051-12-31,,583.4939362444162,524.4383220563585
2052-12-31,,579.2648239571671,523.1809787423238
2053-12-31,,531.5860117013078,510.3650202287914
2054-12-31,,540.1715614536795,469.46976266043214
2055-12-31,,576.4717218889475,464.05977277482964
2056-12-31,,569.0213779994384,459.3661486816375
2057-12-31,,555.1619618443046,486.933994140622
2058-12-31,,535.9547727748293,403.65101082937775
2059-12-31,,528.3208319963695,394.23553135462896
2060-12-31,,540.1782340785401,441.39774475097363
2061-12-31,,514.0659013148684,412.34341605049946
2062-12-31,,563.3884352329765,415.616959490092
2063-12-31,,530.1423040771451,462.7209133475136
2064-12-31,,551.7292748151472,460.7325265066934
2065-12-31,,530.7471301269497,410.110642177034
2066-12-31,,516.7275835309676,408.9457714843722
2067-12-31,,575.6747691127197,478.21849478585074
2068-12-31,,588.1763396344829,352.69660112653196
2069-12-31,,522.8188956124408,382.1527272251647
2070-12-31,,572.1713036237406,351.12471069335686
2071-12-31,,542.2878224400077,367.16800789969045
2072-12-31,,562.2805742536236,357.2522090366882
2073-12-31,,514.3177489362412,401.46452924455673
2074-12-31,,523.1018907819443,345.1819987269786
2075-12-31,,541.8049119349855,336.7980287388368
2076-12-31,,549.3213732038192,361.1412522670176
2077-12-31,,516.197879987441,360.200289306638
2078-12-31,,517.2410227748294,318.74853027343516
2079-12-31,,570.7150726318325,302.93665902273773
2080-12-31,,526.3513630894219,312.03368652343516
2081-12-31,,560.4063085065534,320.18254263741386
2082-12-31,,493.4185076904264,308.2546859305222
2083-12-31,,465.10829275948333,302.82248003278244
2084-12-31,,504.5115414864643,335.1482575334798
2085-12-31,,513.509202619277,333.6899870082287
2086-12-31,,513.3110881696396,290.2363775634744
2087-12-31,,467.1373957170728,285.09161734444524
2088-12-31,,486.91546936034837,306.277016252788
2089-12-31,,534.4528517368827,287.8510437011696
2090-12-31,,498.6588570730994,267.6285312325594
2091-12-31,,506.42201198032586,248.0869798932737
2092-12-31,,484.29906433105134,251.06681788853032
2093-12-31,,473.21435433523664,257.66463466099134
2094-12-31,,525.0190243094273,238.41010602678392
2095-12-31,,506.58592773437175,268.2531491524813
2096-12-31,,511.91220043945,234.66085911341884
2097-12-31,,500.3528861389129,293.8199390520348
2098-12-31,,490.7264296874969,254.99587315150464
2099-12-31,,387.3468657531711,162.64835824148844
