,historical,rcp45,rcp85
1950-12-31,4865.006647731226,,
1951-12-31,4774.042465297145,,
1952-12-31,4827.338867667052,,
1953-12-31,4702.975455365852,,
1954-12-31,4826.50707410539,,
1955-12-31,4892.55340270995,,
1956-12-31,4809.5501594761345,,
1957-12-31,4855.736421160006,,
1958-12-31,4829.963500540586,,
1959-12-31,4803.609555271683,,
1960-12-31,4865.063820539193,,
1961-12-31,4792.662056710369,,
1962-12-31,4823.908471418098,,
1963-12-31,4701.48922642298,,
1964-12-31,5008.176443830207,,
1965-12-31,5006.743678763243,,
1966-12-31,4992.169432373035,,
1967-12-31,4840.204327697743,,
1968-12-31,4983.636259329649,,
1969-12-31,4968.58320879254,,
1970-12-31,5024.012676871153,,
1971-12-31,4841.932406790586,,
1972-12-31,4898.994645211346,,
1973-12-31,4805.21058040073,,
1974-12-31,4947.643463352739,,
1975-12-31,4830.916196681421,,
1976-12-31,4828.725194832928,,
1977-12-31,4749.478478698721,,
1978-12-31,4869.164695347366,,
1979-12-31,4619.025013166145,,
1980-12-31,4701.488936070023,,
1981-12-31,4649.46975742884,,
1982-12-31,4821.542976510174,,
1983-12-31,4909.322806483668,,
1984-12-31,4864.572229527055,,
1985-12-31,4780.1943969290505,,
1986-12-31,4678.855764334532,,
1987-12-31,4825.015145220066,,
1988-12-31,4719.085809936514,,
1989-12-31,4695.480225306909,,
1990-12-31,4755.087836914052,,
1991-12-31,4581.418273489808,,
1992-12-31,4878.646678466786,,
1993-12-31,4734.791976797911,,
1994-12-31,4667.259552437909,,
1995-12-31,4859.323212759827,,
1996-12-31,4722.067877240852,,
1997-12-31,4542.13960144042,,
1998-12-31,4474.157400687072,,
1999-12-31,4629.9125002179735,,
2000-12-31,4532.209295479903,,
2001-12-31,4661.046600864945,,
2002-12-31,4468.739916992177,,
2003-12-31,4519.819500601622,,
2004-12-31,4462.623564976276,,
2005-12-31,4183.4917493983585,,
2006-12-31,,4363.670597970136,4373.535505327488
2007-12-31,,4272.34220615931,4375.861252615783
2008-12-31,,4439.298794032495,4418.822107456742
2009-12-31,,4310.68253326415,4433.216806291843
2010-12-31,,4344.026035505014,4546.87869746616
2011-12-31,,4351.016126447396,4332.795923287518
2012-12-31,,4262.698178841716,4230.280819527754
2013-12-31,,4357.136911882664,4370.51139077322
2014-12-31,,4373.578028302865,4319.594387163425
2015-12-31,,4250.779104527054,4385.885617152614
2016-12-31,,4354.643718566885,4289.854894845136
2017-12-31,,4329.0889956228975,4193.157670288077
2018-12-31,,4282.423163800912,4162.058343593044
2019-12-31,,4216.105124206533,4219.404222630083
2020-12-31,,4277.750109645289,4192.986136082231
2021-12-31,,4373.18995919363,4142.221153346461
2022-12-31,,4194.685188162659,4149.045415562211
2023-12-31,,4128.248486110133,4111.808728245318
2024-12-31,,4172.630041067932,4127.200252641941
2025-12-31,,4015.81963936941,4168.691705060676
2026-12-31,,3949.78909022739,4056.4804991803762
2027-12-31,,4184.1109167044415,4158.023662370945
2028-12-31,,4067.6045174298874,3939.5161793299985
2029-12-31,,3955.9435350254507,3944.3638969639273
2030-12-31,,4035.020243573861,3903.352682146336
2031-12-31,,4030.4258361380353,4118.621462533124
2032-12-31,,3984.6215410940895,4123.373854370107
2033-12-31,,3929.900688825325,3909.419998168936
2034-12-31,,4024.5128611101327,3945.20292781284
2035-12-31,,3945.499287152962,3859.180188380641
2036-12-31,,3940.3552011980237,3973.817299019941
2037-12-31,,4024.89017565045,3843.620734819676
2038-12-31,,3986.012613612575,3846.5173480660487
2039-12-31,,3938.6836656406854,3855.7757165963226
2040-12-31,,4049.638480268198,3831.5491790335427
2041-12-31,,3897.942507934561,3811.47579424176
2042-12-31,,3965.1730817522225,3719.1318511526833
2043-12-31,,3939.208255484436,3714.7206614466986
2044-12-31,,3857.7670438493915,3842.6155086408253
2045-12-31,,3875.757379629944,3776.9167092459456
2046-12-31,,3877.021316179539,3648.715749729692
2047-12-31,,3823.4557557896105,3681.2760222080688
2048-12-31,,3862.193449271057,3663.4285254778088
2049-12-31,,3776.964595293309,3566.2786894879932
2050-12-31,,3747.3274322945645,3537.273794337672
2051-12-31,,3815.668139561236,3623.233826642708
2052-12-31,,3656.607767813537,3570.5614525931146
2053-12-31,,3674.4176472691042,3502.2596222359707
2054-12-31,,3694.547295968183,3514.4248006766097
2055-12-31,,3732.885621773848,3469.3031969342824
2056-12-31,,3870.0976077706387,3471.3677293613896
2057-12-31,,3775.9410998535072,3384.8504559762055
2058-12-31,,3629.9296351841426,3391.84579450334
2059-12-31,,3644.6209788295114,3357.2606554739737
2060-12-31,,3822.7679648699,3399.5563305663977
2061-12-31,,3689.7574326433373,3352.9276605660493
2062-12-31,,3707.4512910243348,3321.4441774640677
2063-12-31,,3736.627849077487,3353.6107051740296
2064-12-31,,3687.4202795846027,3318.6329840523777
2065-12-31,,3603.891833888454,3278.6635535539817
2066-12-31,,3656.3301098632733,3233.2169186401284
2067-12-31,,3703.370978001177,3286.4547853306285
2068-12-31,,3738.477846287311,3052.668094656799
2069-12-31,,3606.5966264561152,3097.435091421937
2070-12-31,,3682.5136423165363,3030.14907361711
2071-12-31,,3673.854417157846,3078.3903975132453
2072-12-31,,3547.046493791844,3068.407066999155
2073-12-31,,3593.6443347167883,3056.013332214348
2074-12-31,,3560.7972846766797,3110.849258204861
2075-12-31,,3597.6437472098123,3000.4304003034244
2076-12-31,,3504.5011516461964,3050.5414249529085
2077-12-31,,3595.41609967912,3057.321170174727
2078-12-31,,3532.7699237932393,2928.4098199026844
2079-12-31,,3564.347461765826,2918.6802145821625
2080-12-31,,3682.3185171508694,3007.9388166155063
2081-12-31,,3565.2618041556125,2880.700338527127
2082-12-31,,3487.1251112583623,2827.726747610902
2083-12-31,,3487.206860569536,2930.2090844290515
2084-12-31,,3642.1375812639426,2881.125634547635
2085-12-31,,3600.541307329441,2827.1285504586276
2086-12-31,,3615.206344996852,2759.6863886805863
2087-12-31,,3585.778075605111,2818.9886933244907
2088-12-31,,3585.331273803703,2765.3090617152548
2089-12-31,,3663.455258440281,2757.5031472342275
2090-12-31,,3583.2784317016512,2788.1552607944955
2091-12-31,,3551.152555324002,2697.873931623179
2092-12-31,,3521.8373974173323,2719.5952920532145
2093-12-31,,3553.138816877084,2619.1788408551815
2094-12-31,,3560.9203094482336,2629.9426828002856
2095-12-31,,3497.6560089983172,2698.30039254324
2096-12-31,,3522.012144653311,2645.160152326304
2097-12-31,,3508.337981185904,2580.82065224783
2098-12-31,,3565.14860586547,2540.5436878313258
2099-12-31,,3000.6692362060467,2217.6333810860706
