,historical,rcp45,rcp85
1950-12-31,6523.676855032773,,
1951-12-31,6455.46014613559,,
1952-12-31,6466.79518519809,,
1953-12-31,6428.011238882869,,
1954-12-31,6430.295750514427,,
1955-12-31,6436.943300301677,,
1956-12-31,6524.56055742535,,
1957-12-31,6534.755056065137,,
1958-12-31,6559.241563415514,,
1959-12-31,6482.102757437558,,
1960-12-31,6520.253706272657,,
1961-12-31,6365.194459708066,,
1962-12-31,6438.366038731152,,
1963-12-31,6402.09146693637,,
1964-12-31,6681.344772033679,,
1965-12-31,6674.901104692717,,
1966-12-31,6691.503434491823,,
1967-12-31,6631.8833113316,,
1968-12-31,6726.092382638099,,
1969-12-31,6559.99653499057,,
1970-12-31,6521.884547598689,,
1971-12-31,6565.374432329438,,
1972-12-31,6646.16304569788,,
1973-12-31,6515.140715288421,,
1974-12-31,6641.652677830274,,
1975-12-31,6491.8428974696435,,
1976-12-31,6602.959875401075,,
1977-12-31,6374.742579302094,,
1978-12-31,6411.796186218249,,
1979-12-31,6387.905016741059,,
1980-12-31,6406.038233947741,,
1981-12-31,6469.968448399122,,
1982-12-31,6546.853550022658,,
1983-12-31,6559.918468627917,,
1984-12-31,6495.356699916282,,
1985-12-31,6421.3935761805815,,
1986-12-31,6241.399258510032,,
1987-12-31,6388.7710585675795,,
1988-12-31,6245.950971723272,,
1989-12-31,6297.054188624778,,
1990-12-31,6353.074306204648,,
1991-12-31,6262.611010960158,,
1992-12-31,6428.4767796979495,,
1993-12-31,6459.876943228573,,
1994-12-31,6313.370127519867,,
1995-12-31,6435.534407130636,,
1996-12-31,6325.805878513868,,
1997-12-31,6256.775563267287,,
1998-12-31,6127.428245631614,,
1999-12-31,6224.738347080764,,
2000-12-31,6174.0424349975465,,
2001-12-31,6172.84536551338,,
2002-12-31,6061.7122816249175,,
2003-12-31,6153.15185921804,,
2004-12-31,6120.092149396612,,
2005-12-31,5777.43530530656,,
2006-12-31,,5873.3491178239965,5842.311833583274
2007-12-31,,5954.242192339203,6020.162619018542
2008-12-31,,6017.227897774819,6069.282548392147
2009-12-31,,5838.836938214971,6023.906141008636
2010-12-31,,5750.239856828949,6087.723390110548
2011-12-31,,5847.539031284866,5959.976812438952
2012-12-31,,5855.342908063603,5963.806642063673
2013-12-31,,5950.423286350783,5937.735419093528
2014-12-31,,5903.365889195022,5785.940755528029
2015-12-31,,5819.016295253196,5799.052593645356
2016-12-31,,6004.993381696417,5835.716990443625
2017-12-31,,5954.162225995732,5631.084709647031
2018-12-31,,5844.228114885591,5694.080016043515
2019-12-31,,5755.648986642009,5801.752626865919
2020-12-31,,5816.26165483746,5753.874737897588
2021-12-31,,5894.299954528796,5763.654546683164
2022-12-31,,5697.339903956809,5697.887124154216
2023-12-31,,5670.727034345344,5582.76977656772
2024-12-31,,5603.01290863036,5681.247441275448
2025-12-31,,5706.8912916346835,5620.138731515054
2026-12-31,,5461.826897321416,5515.409431152331
2027-12-31,,5705.708287091926,5600.758070547909
2028-12-31,,5642.245312412795,5456.001902509404
2029-12-31,,5526.3982717023455,5440.2266414533215
2030-12-31,,5634.221289760033,5371.131348222993
2031-12-31,,5589.241630423398,5670.3901309203975
2032-12-31,,5569.828887372687,5752.090558733247
2033-12-31,,5480.769292994896,5505.140716596319
2034-12-31,,5460.166247820162,5512.266469334184
2035-12-31,,5571.273429129452,5357.794592503126
2036-12-31,,5609.862928292399,5513.792360316673
2037-12-31,,5571.198826075951,5356.030632498593
2038-12-31,,5504.701606881266,5399.356547589973
2039-12-31,,5594.384545244477,5360.066435241686
2040-12-31,,5565.539687892358,5428.852766505639
2041-12-31,,5482.663137773775,5288.758157174236
2042-12-31,,5447.535390755778,5251.991619916631
2043-12-31,,5457.112982046933,5298.504356253476
2044-12-31,,5321.814359828393,5332.521590488967
2045-12-31,,5367.92927982874,5162.459491925909
2046-12-31,,5526.59353009904,5153.549490574416
2047-12-31,,5265.78376233781,5200.398856811512
2048-12-31,,5321.606575927722,5160.364584176188
2049-12-31,,5280.977172459182,5069.02779824392
2050-12-31,,5168.066735752638,5032.997009233736
2051-12-31,,5206.195449611107,5016.735118538982
2052-12-31,,5111.867391313813,4991.129285234713
2053-12-31,,5144.035740356435,4932.255295104969
2054-12-31,,5177.910827026356,4937.2575858415785
2055-12-31,,5199.852427237363,4908.280986502501
2056-12-31,,5383.165621861037,4969.783375200533
2057-12-31,,5208.563876953114,4744.354721461695
2058-12-31,,5036.546384582508,4849.49888872418
2059-12-31,,5148.377500043584,4792.866127668098
2060-12-31,,5200.889319022031,4756.463909912099
2061-12-31,,5044.868934282564,4768.430562046585
2062-12-31,,5024.455438668376,4783.046578325533
2063-12-31,,5194.075259660983,4756.562489493223
2064-12-31,,5135.076230032772,4736.286507873524
2065-12-31,,5046.374174717484,4727.368482709602
2066-12-31,,5082.488039376384,4593.871298479343
2067-12-31,,5105.958393293097,4516.446830575114
2068-12-31,,5146.542892238061,4464.365877598344
2069-12-31,,5100.221341378337,4366.94126599992
2070-12-31,,5076.784992675771,4437.334797973622
2071-12-31,,5102.145341012127,4427.191785539889
2072-12-31,,4935.393303440628,4452.06061453682
2073-12-31,,5036.049463849738,4461.339249790726
2074-12-31,,4999.850219595763,4474.5224067905865
2075-12-31,,5075.581321716298,4286.6517333984275
2076-12-31,,4980.397192644381,4336.29801361083
2077-12-31,,5019.225508728016,4311.515063171376
2078-12-31,,4927.977887050072,4247.681106523775
2079-12-31,,4999.011922040655,4307.733875252849
2080-12-31,,5038.663193620943,4425.759765276217
2081-12-31,,4963.765575605108,4230.390632847368
2082-12-31,,4901.6856092180415,4081.622648925772
2083-12-31,,4977.719785505012,4269.894763575952
2084-12-31,,5109.381895490362,4264.0135172380615
2085-12-31,,5042.747005658821,4156.660031520289
2086-12-31,,5005.47845563615,4064.5295965140112
2087-12-31,,5141.158748735688,4094.9828256661444
2088-12-31,,5030.023334132593,4113.443874686094
2089-12-31,,5046.028051365432,4048.679667271196
2090-12-31,,4945.834786551327,4067.700594264428
2091-12-31,,4928.793738490502,4035.0879302978415
2092-12-31,,4887.055380336205,4088.0463062831222
2093-12-31,,4962.292120317719,3970.5043684605093
2094-12-31,,4947.8071987042995,3960.982143598275
2095-12-31,,4928.676762172143,3984.073545445023
2096-12-31,,4984.023065231312,3936.1453978620157
2097-12-31,,5013.137759445179,3847.0723422241113
2098-12-31,,4966.497988677967,3859.3676961844203
2099-12-31,,4413.440144760121,3523.635346941258
