,historical,rcp45,rcp85
1950-12-31,899.9423903111099,,
1951-12-31,936.420259399419,,
1952-12-31,955.2407066127281,,
1953-12-31,913.3409096854124,,
1954-12-31,852.6718169294132,,
1955-12-31,858.1549523925829,,
1956-12-31,902.2022715541345,,
1957-12-31,914.811118774419,,
1958-12-31,863.1721577671647,,
1959-12-31,847.7988269043019,,
1960-12-31,894.2165604073713,,
1961-12-31,889.8032598877005,,
1962-12-31,907.8451910400439,,
1963-12-31,855.2436474609424,,
1964-12-31,838.2298099190897,,
1965-12-31,853.49026820592,,
1966-12-31,825.0175400216287,,
1967-12-31,892.9469671630908,,
1968-12-31,860.7847741699268,,
1969-12-31,847.2264044189502,,
1970-12-31,869.377647530697,,
1971-12-31,883.5289420863608,,
1972-12-31,904.311690325061,,
1973-12-31,878.6851401192852,,
1974-12-31,914.579530116495,,
1975-12-31,881.0145467703733,,
1976-12-31,834.8829571533253,,
1977-12-31,905.5490870012605,,
1978-12-31,884.5401502336823,,
1979-12-31,879.5638729422482,,
1980-12-31,936.6270141601616,,
1981-12-31,975.4272898646814,,
1982-12-31,888.5771384974938,,
1983-12-31,837.3824135044692,,
1984-12-31,869.56678824289,,
1985-12-31,891.1364860316736,,
1986-12-31,935.4822060721311,,
1987-12-31,920.029203491216,,
1988-12-31,921.1103048270138,,
1989-12-31,970.6663393729125,,
1990-12-31,974.0348901367239,,
1991-12-31,993.4765466308648,,
1992-12-31,843.637832380027,,
1993-12-31,925.2884980120028,,
1994-12-31,998.4858231026836,,
1995-12-31,949.370153895792,,
1996-12-31,991.9230697195923,,
1997-12-31,1006.175069405697,,
1998-12-31,1026.3263507952063,,
1999-12-31,1036.9067842320087,,
2000-12-31,1062.296742204944,,
2001-12-31,1037.9228547886494,,
2002-12-31,1045.6243254743358,,
2003-12-31,1036.154800153465,,
2004-12-31,1043.610942557204,,
2005-12-31,1072.4778763253403,,
2006-12-31,,1084.7370869663837,1085.0569947161048
2007-12-31,,1153.0269995989174,1127.3748049490848
2008-12-31,,1145.4398776681137,1112.7758287702343
2009-12-31,,1077.5845885358592,1117.068713640491
2010-12-31,,1139.071176147466,1140.384299577991
2011-12-31,,1165.3368954031862,1174.5672216796931
2012-12-31,,1135.3433973039953,1209.4770497349386
2013-12-31,,1154.2209833635654,1182.9105152239176
2014-12-31,,1221.2490556117523,1183.4821956089622
2015-12-31,,1190.5657793317578,1179.718235037673
2016-12-31,,1191.8171098981643,1209.0244086565344
2017-12-31,,1186.8631414794977,1220.7673302350781
2018-12-31,,1191.1413306536049,1274.3007274518752
2019-12-31,,1190.3283160400447,1317.7440352957644
2020-12-31,,1230.8292721993637,1285.1700988769594
2021-12-31,,1219.4560535539956,1257.5671685791071
2022-12-31,,1191.6429812186157,1239.8328213065067
2023-12-31,,1201.9364394705692,1366.4230149623384
2024-12-31,,1223.6496760777122,1326.789538051066
2025-12-31,,1234.8121565464621,1254.3133623395706
2026-12-31,,1300.284753679554,1297.63320042202
2027-12-31,,1322.8302235630638,1351.5501577322882
2028-12-31,,1323.6100156947602,1345.6309825788283
2029-12-31,,1335.322360316691,1311.7225504847995
2030-12-31,,1303.7181590053071,1390.3914522879525
2031-12-31,,1312.6012963867242,1392.522978341245
2032-12-31,,1356.8955011858316,1382.0973977225226
2033-12-31,,1341.996007952015,1411.9887452043865
2034-12-31,,1348.3035343715178,1418.5208717564235
2035-12-31,,1418.7321732003406,1459.3178465053072
2036-12-31,,1388.4072711181698,1483.1241585867804
2037-12-31,,1350.3277113560323,1518.436605834967
2038-12-31,,1438.5905298723553,1457.5663611711836
2039-12-31,,1414.591415754052,1497.7358033098556
2040-12-31,,1476.9261909702905,1520.088746773862
2041-12-31,,1412.0075871930865,1523.8813663155754
2042-12-31,,1448.8468437848835,1597.9772302246156
2043-12-31,,1452.4410740443698,1538.0533946010103
2044-12-31,,1428.9738338797495,1596.5876155308374
2045-12-31,,1490.2933050537172,1625.2426352364741
2046-12-31,,1497.218132934576,1693.0755563790524
2047-12-31,,1540.9154785156309,1669.1204881068697
2048-12-31,,1517.4392279052793,1696.414978114543
2049-12-31,,1512.7075072370317,1692.9800482177798
2050-12-31,,1561.6746619524336,1693.26408098494
2051-12-31,,1518.7338904680585,1706.2740863909098
2052-12-31,,1544.1238026646267,1700.9338446044985
2053-12-31,,1545.0504957798614,1774.392900216245
2054-12-31,,1501.7020877511222,1801.822828892306
2055-12-31,,1575.1082951137057,1770.747821306508
2056-12-31,,1538.6420125906873,1817.337540980754
