,historical,rcp45,rcp85
1950-12-31,577.8749912806959,,
1951-12-31,578.6462098039938,,
1952-12-31,553.6616122872528,,
1953-12-31,562.3051868547752,,
1954-12-31,534.3119378662147,,
1955-12-31,544.9081518554727,,
1956-12-31,569.9155742536311,,
1957-12-31,547.403953247074,,
1958-12-31,496.8110396031008,,
1959-12-31,515.3485464041612,,
1960-12-31,549.8339093017618,,
1961-12-31,544.4354255894291,,
1962-12-31,563.6905205426938,,
1963-12-31,527.4105757359133,,
1964-12-31,502.7097518484969,,
1965-12-31,492.9322645786866,,
1966-12-31,497.875433436806,,
1967-12-31,580.5248924909358,,
1968-12-31,530.4643529401544,,
1969-12-31,516.824642159602,,
1970-12-31,511.31445617676155,,
1971-12-31,529.6286167689768,,
1972-12-31,579.2626988002271,,
1973-12-31,560.4736294991669,,
1974-12-31,560.0053574044401,,
1975-12-31,509.82062831334076,,
1976-12-31,530.2006861223531,,
1977-12-31,578.3626082938098,,
1978-12-31,617.732068045484,,
1979-12-31,568.6593860735252,,
1980-12-31,624.7050134277384,,
1981-12-31,638.6819305419962,,
1982-12-31,581.2557355608299,,
1983-12-31,522.049419730054,,
1984-12-31,559.3695556640664,,
1985-12-31,591.7314509800543,,
1986-12-31,585.9553174700096,,
1987-12-31,593.7195795549706,,
1988-12-31,655.9697710309753,,
1989-12-31,627.9683932931124,,
1990-12-31,627.998952811109,,
1991-12-31,654.8768769182518,,
1992-12-31,534.570908290322,,
1993-12-31,584.7006304931681,,
1994-12-31,701.2983111572311,,
1995-12-31,634.8334888567284,,
1996-12-31,616.8069058663546,,
1997-12-31,643.0911104038825,,
1998-12-31,719.5519152832073,,
1999-12-31,687.8166033935589,,
2000-12-31,721.3590815080959,,
2001-12-31,701.7317766462096,,
2002-12-31,732.6422839355515,,
2003-12-31,754.4624766322588,,
2004-12-31,730.4800317382857,,
2005-12-31,737.8173452322868,,
2006-12-31,,776.117513602125,763.272573242192
2007-12-31,,751.5592470877555,782.7651938302222
2008-12-31,,785.4116412353562,786.8760770961261
2009-12-31,,773.5307300676664,785.7482477678615
2010-12-31,,780.5110322788829,783.3979711914108
2011-12-31,,799.9430735560871,820.6622149658248
2012-12-31,,841.6278600202334,893.8497252546086
2013-12-31,,812.7667089843796,809.7593497140115
2014-12-31,,789.0170822579566,857.2167949567569
2015-12-31,,801.7599875313939,832.1572620500883
2016-12-31,,847.8525827462379,821.8517558070638
2017-12-31,,818.6235976736932,851.2815323311991
2018-12-31,,838.1526301792735,908.4431602260092
2019-12-31,,838.6774023437548,889.1954468645417
2020-12-31,,877.9933765520416,924.8414644077895
2021-12-31,,849.4555871582078,877.1222828020416
2022-12-31,,950.9780943080407,924.4246096365839
2023-12-31,,915.1076146589056,929.5553415353007
2024-12-31,,919.0981415666902,985.1978598458476
2025-12-31,,936.0879851423042,870.455631975451
2026-12-31,,949.6724550955686,904.348909563342
2027-12-31,,958.7191073172481,946.7225255475773
2028-12-31,,969.3219519043017,985.8811333356634
2029-12-31,,979.0490812465175,982.3510847691175
2030-12-31,,955.1104943847707,1057.8099093192018
2031-12-31,,984.0581371198432,999.4378870500886
2032-12-31,,978.4118612234985,990.9565079171365
2033-12-31,,1000.8626504080688,1030.361155657092
2034-12-31,,1028.4664517647927,1051.977609514514
2035-12-31,,1082.98463867188,1075.6843069894023
2036-12-31,,1062.7650742885096,1062.1722973632864
2037-12-31,,1027.970244315016,1141.5296424211829
2038-12-31,,1044.7436440604124,1107.234209594732
2039-12-31,,1102.9216411481636,1104.5591421072877
2040-12-31,,1042.0227797154066,1151.3771499197878
2041-12-31,,1111.6168687221038,1141.5414820207925
2042-12-31,,1069.087748238705,1165.0125601632305
2043-12-31,,1061.1666540527397,1160.2291429792185
2044-12-31,,997.06249023438,1162.1290777587942
2045-12-31,,1134.522751464849,1213.307115391328
2046-12-31,,1147.6350993129238,1244.8033288574272
2047-12-31,,1164.2218456159374,1257.3086809430858
2048-12-31,,1092.1946862793022,1241.1934507533533
2049-12-31,,1173.2209011404907,1336.898377249587
2050-12-31,,1150.742416120262,1337.94666904995
2051-12-31,,1132.2672302246149,1294.4487375313952
2052-12-31,,1140.347627999447,1336.6002383858872
2053-12-31,,1163.6895332554461,1374.5685644531306
2054-12-31,,1138.8194356863892,1430.4243627929743
2055-12-31,,1157.6953370012611,1400.7251181466297
2056-12-31,,1171.7764372907423,1483.4533336530471
2057-12-31,,1182.7502864292742,1466.5565316336556
2058-12-31,,1283.6908539690344,1429.2710676792751
2059-12-31,,1211.7824950299996,1457.6473083496153
2060-12-31,,1163.3115816824832,1443.9589471435606
2061-12-31,,1171.5107236153797,1490.713026210246
2062-12-31,,1199.5554150390676,1535.6747876848551
2063-12-31,,1216.1546597726056,1610.4415795898497
2064-12-31,,1142.154035906116,1615.3318322753967
2065-12-31,,1195.2253151157977,1630.4470163399887
2066-12-31,,1255.7394856480246,1571.747247314459
2067-12-31,,1254.2046239362494,1672.4455900355806
2068-12-31,,1214.1081281389563,1754.143274623332
2069-12-31,,1263.8617116873659,1743.4343787493085
2070-12-31,,1191.2113326590456,1671.9159958321768
2071-12-31,,1281.0593046351898,1712.684070347383
2072-12-31,,1330.4070421491408,1675.7097332763733
2073-12-31,,1258.5173280552513,1806.2816148158545
2074-12-31,,1282.950569022048,1831.6883774239739
2075-12-31,,1276.7126496233316,1828.7610389055592
2076-12-31,,1336.557041451596,1763.4983834402967
2077-12-31,,1303.870782645095,1896.5573025076792
2078-12-31,,1235.691340593616,1879.628008684437
2079-12-31,,1247.7193959263448,1901.7298583112508
2080-12-31,,1223.294039393839,1911.6503304617806
