,historical,rcp45,rcp85
1950-12-31,443.5946042306111,,
1951-12-31,427.9822176688088,,
1952-12-31,438.897516217916,,
1953-12-31,404.80580043248057,,
1954-12-31,430.55987609863587,,
1955-12-31,395.86466474260897,,
1956-12-31,441.6705558558902,,
1957-12-31,422.72717825753637,,
1958-12-31,367.12911272321713,,
1959-12-31,366.2889961460686,,
1960-12-31,420.47620309012564,,
1961-12-31,400.22191196986887,,
1962-12-31,376.6499742780443,,
1963-12-31,400.3843518066435,,
1964-12-31,318.0904765101868,,
1965-12-31,366.14706760951714,,
1966-12-31,327.0653933279881,,
1967-12-31,386.14026375907093,,
1968-12-31,373.68668622698397,,
1969-12-31,336.7524132428877,,
1970-12-31,418.45716700962925,,
1971-12-31,358.13820338658195,,
1972-12-31,371.42899344308324,,
1973-12-31,403.7511237444226,,
1974-12-31,405.392555454802,,
1975-12-31,387.3444521658791,,
1976-12-31,395.13724783761444,,
1977-12-31,426.5751981026816,,
1978-12-31,433.9254981340711,,
1979-12-31,408.50332868303866,,
1980-12-31,431.9562177385633,,
1981-12-31,471.2197268240823,,
1982-12-31,398.9597076416044,,
1983-12-31,367.58250061035443,,
1984-12-31,432.0485870361358,,
1985-12-31,441.5311225237196,,
1986-12-31,422.957593296599,,
1987-12-31,415.8811185128378,,
1988-12-31,459.2217577253101,,
1989-12-31,522.6226348876987,,
1990-12-31,462.0514536830387,,
1991-12-31,465.04712437221286,,
1992-12-31,378.472022705081,,
1993-12-31,382.0909347970174,,
1994-12-31,444.38359235491373,,
1995-12-31,466.0299232700924,,
1996-12-31,484.03804609026537,,
1997-12-31,441.3772562081505,,
1998-12-31,514.8845846993614,,
1999-12-31,481.34153329032137,,
2000-12-31,489.83972133091856,,
2001-12-31,517.5468729073693,,
2002-12-31,557.1539852469342,,
2003-12-31,514.6356447056396,,
2004-12-31,563.5862821742501,,
2005-12-31,543.6148239571739,,
2006-12-31,,549.1504669189486,621.7958759416886
2007-12-31,,567.1005226353271,588.2649644252267
2008-12-31,,578.6344750104666,585.813712681365
2009-12-31,,617.5002236502546,549.4331519426653
2010-12-31,,565.9215484619176,599.709994158067
2011-12-31,,601.9344293212927,570.3726603480782
2012-12-31,,645.5935162353552,611.777248622353
2013-12-31,,603.2796019635919,629.0535338483575
2014-12-31,,639.5992939976319,599.1669243512869
2015-12-31,,617.5279773821186,609.6593765694792
2016-12-31,,559.2514961460691,625.1542687116386
2017-12-31,,678.480069667275,617.8337762451208
2018-12-31,,707.1399891880618,653.6672390311139
2019-12-31,,640.6539918736083,619.1740794154613
2020-12-31,,697.262377493726,750.854272024976
2021-12-31,,674.9471828787706,617.7457284109971
2022-12-31,,681.6582958112482,684.6949413190606
2023-12-31,,631.7888332693952,751.414192766466
2024-12-31,,635.0829968261754,744.1291006033799
2025-12-31,,698.0739611816443,739.3147348458466
2026-12-31,,727.9531183733296,709.7326544189491
2027-12-31,,681.9771817452604,740.340111955919
2028-12-31,,698.0441975620852,737.2928349958186
2029-12-31,,738.9418984549425,749.9569439697303
2030-12-31,,722.3956417410752,771.764183088034
2031-12-31,,670.019555402487,811.9440335519014
2032-12-31,,716.3636995152102,728.9955312674424
2033-12-31,,776.8316816057517,748.9032804652662
2034-12-31,,748.7931831577883,737.3915611921078
2035-12-31,,743.658557826455,837.4362113734694
2036-12-31,,714.1592791748085,792.0152900041891
2037-12-31,,744.3510098702607,810.9469363839323
2038-12-31,,782.8129531424427,869.5974257986927
2039-12-31,,715.8085064697303,839.2405038016223
2040-12-31,,730.5387434605228,860.1779656982461
2041-12-31,,778.7266773332908,859.7227273995578
2042-12-31,,803.1480877685585,868.4551743861649
2043-12-31,,839.5066811697864,894.6507714843792
2044-12-31,,819.6356526402104,877.8277641078445
2045-12-31,,803.6496396310029,937.4093862479117
2046-12-31,,862.1109409877274,982.3875004359699
2047-12-31,,871.5252839878667,981.284665527348
2048-12-31,,927.4532853480788,1043.0486263602168
2049-12-31,,855.2399873570073,1073.7727735246974
2050-12-31,,885.3121742466557,974.0225688825382
2051-12-31,,881.848641444619,995.1726202392624
2052-12-31,,884.3055676269572,1047.1858138602165
2053-12-31,,911.3338135637598,1115.735203508654
2054-12-31,,866.5517345319515,1088.9226271275156
2055-12-31,,880.9867633928611,1064.0141080147926
2056-12-31,,847.9777104841,1146.2415813337097
2057-12-31,,958.5662941197029,1102.940896955222
2058-12-31,,953.417825317387,1125.4319441441173
2059-12-31,,905.8053564453165,1131.8959838867233
2060-12-31,,959.7088392857189,1146.4745773751442
2061-12-31,,938.777390223916,1153.1356023298038
2062-12-31,,958.9975500488323,1092.568073294508
2063-12-31,,984.3734694998645,1130.641094273163
2064-12-31,,886.2288432966003,1190.9188319615002
2065-12-31,,916.2319170270691,1295.0102471051948
2066-12-31,,900.3696525355791,1254.4012516566731
2067-12-31,,906.8739569091837,1330.6022145298598
2068-12-31,,917.1850401088211,1335.4313297816736
2069-12-31,,938.364796840127,1330.7155662318687
2070-12-31,,975.2936671665778,1249.4283660888718
2071-12-31,,1075.3580462646532,1346.1126604352728
2072-12-31,,1019.9156246512321,1360.3286975097703
2073-12-31,,1010.0203728376162,1392.825231236054
2074-12-31,,1004.66714547294,1420.9016568429183
2075-12-31,,1041.9428804234142,1424.09583121164
2076-12-31,,1033.316604439876,1495.3991813441735
2077-12-31,,1031.2515337262882,1465.307279401512
2078-12-31,,1011.8655528041336,1497.9642638288278
2079-12-31,,971.3901792689777,1478.3403839111377
2080-12-31,,992.4767611258414,1533.983247331897
2081-12-31,,946.3279139927498,1489.9929180908255
2082-12-31,,984.8180093819798,1600.97332214356
2083-12-31,,1008.9063925606906,1611.7170877511217
2084-12-31,,1035.6357576206797,1527.9699592808367
2085-12-31,,1027.0260049002554,1629.9557325090736
2086-12-31,,986.6971500069799,1590.8620996093803
2087-12-31,,968.4317280796637,1665.626587873192
2088-12-31,,985.8650706263996,1701.690697370262
2089-12-31,,986.2197324916336,1658.3354251534647
2090-12-31,,987.1116805594351,1781.0952585274888
2091-12-31,,1009.1117052350767,1791.9824547467967
2092-12-31,,1071.820674351288,1765.8939631870871
2093-12-31,,1012.5941764613602,1860.714960152768
2094-12-31,,1043.1637455531575,1740.7260781424436
2095-12-31,,1069.0090846470466,1687.3187175641797
2096-12-31,,1072.1043227233931,1793.901785452712
2097-12-31,,1093.2216903076219,1886.050445992612
2098-12-31,,1063.8120481567428,1871.8856545584601
2099-12-31,,1031.2571270141648,1823.7491935512055
