,historical,rcp45,rcp85
1950-12-31,0.0,,
1951-12-31,0.0,,
1952-12-31,0.0,,
1953-12-31,0.0,,
1954-12-31,0.0,,
1955-12-31,0.0,,
1956-12-31,0.0,,
1957-12-31,0.0,,
1958-12-31,0.0,,
1959-12-31,0.0,,
1960-12-31,0.0,,
1961-12-31,0.0,,
1962-12-31,0.0,,
1963-12-31,0.0,,
1964-12-31,0.0,,
1965-12-31,0.0,,
1966-12-31,0.0,,
1967-12-31,0.0,,
1968-12-31,0.0,,
1969-12-31,0.0,,
1970-12-31,0.0,,
1971-12-31,0.0,,
1972-12-31,0.0,,
1973-12-31,0.0,,
1974-12-31,0.0,,
1975-12-31,0.0,,
1976-12-31,0.0,,
1977-12-31,0.0,,
1978-12-31,0.0,,
1979-12-31,0.0,,
1980-12-31,0.0,,
1981-12-31,0.0,,
1982-12-31,0.0,,
1983-12-31,0.0,,
1984-12-31,0.0,,
1985-12-31,0.0,,
1986-12-31,0.0,,
1987-12-31,0.0,,
1988-12-31,0.0,,
1989-12-31,0.0,,
1990-12-31,0.0,,
1991-12-31,0.0,,
1992-12-31,0.0,,
1993-12-31,0.0,,
1994-12-31,0.0,,
1995-12-31,0.0,,
1996-12-31,0.0,,
1997-12-31,0.0,,
1998-12-31,0.0,,
1999-12-31,0.0,,
2000-12-31,0.0,,
2001-12-31,0.0,,
2002-12-31,0.0,,
2003-12-31,0.0,,
2004-12-31,0.0,,
2005-12-31,0.0,,
2006-12-31,,0.0,0.0
2007-12-31,,0.0,0.0
2008-12-31,,0.0,0.0
2009-12-31,,0.0,0.0
2010-12-31,,0.0,0.0
2011-12-31,,0.0,0.0
2012-12-31,,0.0,0.0
2013-12-31,,0.0,0.0
2014-12-31,,0.0,0.0
2015-12-31,,0.0,0.0
2016-12-31,,0.0,0.0
2017-12-31,,0.0,0.0
2018-12-31,,0.0,0.0
2019-12-31,,0.0,0.0
2020-12-31,,0.003561895461311608,0.0
2021-12-31,,0.0,0.0
2022-12-31,,0.0,0.0
2023-12-31,,0.0,0.0
2024-12-31,,0.020390595935641694,0.0
2025-12-31,,0.0,0.0
2026-12-31,,0.0,0.0
2027-12-31,,0.0,0.0
2028-12-31,,0.0,0.0
2029-12-31,,0.0,0.0
2030-12-31,,0.0,0.0
2031-12-31,,0.0,0.0
2032-12-31,,0.0,0.0
2033-12-31,,0.0,0.0
2034-12-31,,0.0,0.0
2035-12-31,,0.06423127673921313,0.25861049107143413
2036-12-31,,0.0,0.0
2037-12-31,,0.0,0.07339832124256147
2038-12-31,,0.0,0.0
2039-12-31,,0.0,0.0
2040-12-31,,0.0,0.0
2041-12-31,,0.0,0.0
2042-12-31,,0.0,0.0
2043-12-31,,0.0,0.0
2044-12-31,,0.0,0.1259422374907033
2045-12-31,,0.0,0.027850835890998973
2046-12-31,,0.0,0.0
2047-12-31,,0.0,0.0
2048-12-31,,0.06810886928013951,0.027956775483632765
2049-12-31,,0.0,0.1999770100911496
2050-12-31,,0.0,0.0
2051-12-31,,0.0,0.07296590169271223
2052-12-31,,0.0,0.2561215645926399
2053-12-31,,0.0,0.6576820010230755
2054-12-31,,0.0,0.21801470075335433
2055-12-31,,0.0,0.07252644856771237
2056-12-31,,0.040345168340776026,0.0
2057-12-31,,0.0,0.6845751371837958
2058-12-31,,0.0,0.16488353910900702
2059-12-31,,0.0,0.022889985584079058
2060-12-31,,0.0,0.12516273135231057
2061-12-31,,0.0,0.61455804734004
2062-12-31,,0.0006649053664455366,0.0
2063-12-31,,0.04036217099144527,0.364251069568461
2064-12-31,,0.0,0.0
2065-12-31,,0.0,0.6956244187128194
2066-12-31,,0.0,0.1327929978143643
2067-12-31,,0.09645179385231085,0.26554120744978876
2068-12-31,,0.0,0.2853056408110218
2069-12-31,,0.0,0.10784095400856045
2070-12-31,,0.0,0.0024266415550613374
2071-12-31,,0.15878874279204272,1.3903646705264412
2072-12-31,,0.35370157877604974,0.6772293526785951
2073-12-31,,0.0,0.7538673328218266
2074-12-31,,0.0,0.0741583833240408
2075-12-31,,0.0,0.14427682059152316
2076-12-31,,0.0,0.7300631277902028
2077-12-31,,0.19998927525112178,0.42928196498327037
2078-12-31,,0.0,0.06947823660714816
2079-12-31,,0.0,0.62561828613283
2080-12-31,,0.0,1.7225913783482323
2081-12-31,,0.0,0.6902286783854298
2082-12-31,,0.0,1.7293915085565925
2083-12-31,,0.0,3.1406888543992317
2084-12-31,,0.0,1.1173760114397677
2085-12-31,,0.3132982235863234,2.926017339797311
2086-12-31,,0.05294462658110549,0.37269290015812623
2087-12-31,,0.0,4.768669985816673
2088-12-31,,0.1149702962239621,5.474187622070394
2089-12-31,,0.3888460577102007,3.05693530854732
2090-12-31,,0.06927844819568647,8.33329999651241
2091-12-31,,0.0,8.456861049107285
2092-12-31,,0.11284316289992768,3.7288956415086574
2093-12-31,,0.0875981503441237,13.982986624581647
2094-12-31,,0.0,9.491014084589052
2095-12-31,,0.20168773832775702,4.460312529064441
2096-12-31,,0.3104866943359454,9.148883347284382
2097-12-31,,0.13954473876953344,10.304869733538121
2098-12-31,,0.0,9.854920741490133
2099-12-31,,0.0,9.245737508138191
