,historical,rcp45,rcp85
1950-12-31,5025.7831891305,,
1951-12-31,4945.3741966029465,,
1952-12-31,4992.382520577556,,
1953-12-31,4898.263382829929,,
1954-12-31,5024.287005702419,,
1955-12-31,5075.72755065917,,
1956-12-31,4966.736484680166,,
1957-12-31,5056.249664611806,,
1958-12-31,4999.160480477458,,
1959-12-31,4981.024703805095,,
1960-12-31,5051.217624904079,,
1961-12-31,4994.557004786889,,
1962-12-31,4983.206102600087,,
1963-12-31,4887.876225978297,,
1964-12-31,5215.444438432956,,
1965-12-31,5214.687858145566,,
1966-12-31,5151.278637956881,,
1967-12-31,4997.8519614083325,,
1968-12-31,5163.726403111038,,
1969-12-31,5173.156544625408,,
1970-12-31,5205.8795107160195,,
1971-12-31,5036.874189801886,,
1972-12-31,5070.74792122976,,
1973-12-31,4986.9340062168585,,
1974-12-31,5144.147030814023,,
1975-12-31,5003.804979945581,,
1976-12-31,5039.086849496013,,
1977-12-31,4942.222754952558,,
1978-12-31,5032.196981942305,,
1979-12-31,4796.911633518753,,
1980-12-31,4884.466482151566,,
1981-12-31,4820.895358843113,,
1982-12-31,5002.097519487644,,
1983-12-31,5103.319431370317,,
1984-12-31,5035.755516313815,,
1985-12-31,4958.327347978854,,
1986-12-31,4848.869452427445,,
1987-12-31,4968.537545340389,,
1988-12-31,4905.3992975289375,,
1989-12-31,4856.642928074418,,
1990-12-31,4932.168152378617,,
1991-12-31,4738.0370006452185,,
1992-12-31,5060.347065255291,,
1993-12-31,4928.298373413076,,
1994-12-31,4856.5048120553065,,
1995-12-31,5031.733360770079,,
1996-12-31,4878.667017735061,,
1997-12-31,4725.48811427524,,
1998-12-31,4636.535380772173,,
1999-12-31,4800.899282662517,,
2000-12-31,4688.348243974948,,
2001-12-31,4852.4539469255615,,
2002-12-31,4648.135902186793,,
2003-12-31,4695.900090419214,,
2004-12-31,4587.964718191954,,
2005-12-31,4310.006159493573,,
2006-12-31,,4513.758714773986,4561.8290888758975
2007-12-31,,4404.39605468749,4548.800891549236
2008-12-31,,4599.373412213998,4553.810288739876
2009-12-31,,4491.956261335092,4597.046741202209
2010-12-31,,4525.257075936444,4693.393432486388
2011-12-31,,4525.816349792471,4500.8555620901825
2012-12-31,,4413.255306222088,4412.18343409946
2013-12-31,,4543.065795244479,4560.3930366734
2014-12-31,,4532.367012852251,4482.379156363341
2015-12-31,,4405.97045540945,4560.657649536123
2016-12-31,,4527.580555158333,4461.837167401985
2017-12-31,,4474.772465340742,4365.564737853994
2018-12-31,,4482.146868896474,4321.3511267961685
2019-12-31,,4384.713555123455,4404.2379476056685
2020-12-31,,4423.51166268484,4371.154548862993
2021-12-31,,4523.858620910636,4330.279419206882
2022-12-31,,4357.580537283752,4334.547144383013
2023-12-31,,4285.1013848876855,4288.201051548541
2024-12-31,,4353.611741856156,4291.853098188118
2025-12-31,,4192.086032627641,4334.488481227319
2026-12-31,,4122.194780360621,4226.736411132804
2027-12-31,,4341.295332685189,4342.093547363272
2028-12-31,,4207.013370317723,4108.534075796935
2029-12-31,,4123.417452828534,4108.447932739248
2030-12-31,,4185.290387660426,4068.2142883736656
2031-12-31,,4181.818515886571,4277.448183201372
2032-12-31,,4142.694719412657,4313.398242143893
2033-12-31,,4059.2539398193253,4055.2624101475217
2034-12-31,,4197.283068542472,4118.357525809142
2035-12-31,,4098.3040631975355,4021.944919259198
2036-12-31,,4085.3613498360683,4117.077584490085
2037-12-31,,4205.472697797493,3999.8751324898767
2038-12-31,,4146.4403014700665,3993.797879333486
2039-12-31,,4092.6171261596587,4014.012425101135
2040-12-31,,4209.116675371433,3994.888274012965
2041-12-31,,4055.896356811514,3967.0851024954572
2042-12-31,,4123.264069388244,3892.818418797075
2043-12-31,,4084.8346960449126,3871.8656976754232
2044-12-31,,4024.9148329380487,3991.238272094717
2045-12-31,,4027.3761953299295,3909.139075055794
2046-12-31,,4006.917347150521,3792.880335998527
2047-12-31,,3972.466099199559,3822.3692824009404
2048-12-31,,4011.081834934771,3830.7837566266644
2049-12-31,,3939.3364980207066,3726.3244765363343
2050-12-31,,3893.344289158403,3668.810570678702
2051-12-31,,3967.720784650521,3779.9981694248654
2052-12-31,,3820.007687683096,3729.3917475673043
2053-12-31,,3819.932075151707,3629.0635549490703
2054-12-31,,3829.206758728018,3611.385033612924
2055-12-31,,3901.34643737792,3593.7578179059624
2056-12-31,,4013.1946326991388,3608.9163459995725
2057-12-31,,3932.196624014708,3503.994818987157
2058-12-31,,3783.6719046456383,3519.058666338231
2059-12-31,,3790.4662392752416,3506.4446029662995
2060-12-31,,3964.831521650032,3527.271260986319
2061-12-31,,3838.314646737227,3492.69657056535
2062-12-31,,3862.522540108808,3424.6749945940205
2063-12-31,,3886.716524658194,3484.8359329659515
2064-12-31,,3825.690140729623,3449.032906537729
2065-12-31,,3769.293097141801,3404.835284990575
2066-12-31,,3829.082681535984,3337.9637485613066
2067-12-31,,3868.8046088518313,3432.7154159109855
2068-12-31,,3898.1402102661036,3187.654975106367
2069-12-31,,3759.665668160566,3216.5551490565626
2070-12-31,,3825.6598343767346,3168.269020342137
2071-12-31,,3843.2582618059337,3209.2143664114737
2072-12-31,,3710.8511623273494,3203.850631757455
2073-12-31,,3744.816955261221,3193.013504289892
2074-12-31,,3700.465105285635,3234.7805672781724
2075-12-31,,3741.655588248108,3116.5629395839064
2076-12-31,,3643.878609619131,3166.9670068795253
2077-12-31,,3732.9937510899044,3184.3550550188256
2078-12-31,,3670.0828452845903,3059.011775774267
2079-12-31,,3710.7153890555146,3027.1694946724947
2080-12-31,,3831.0008063180017,3114.7252785818837
2081-12-31,,3741.860648411333,2984.5713925606783
2082-12-31,,3625.072817339207,2932.504060974113
2083-12-31,,3633.5924466378265,3025.290663800913
2084-12-31,,3766.8388644845068,3007.8406542532703
2085-12-31,,3727.359641026079,2948.6256870814655
2086-12-31,,3750.308921552377,2876.053878653382
2087-12-31,,3712.6421835327055,2908.149877624504
2088-12-31,,3713.4687996564503,2903.493977791915
2089-12-31,,3795.265480085092,2872.761266523081
2090-12-31,,3751.8474809483037,2891.2465525599805
2091-12-31,,3706.0228883143755,2804.12875784737
2092-12-31,,3683.9900037928905,2831.8613203212117
2093-12-31,,3692.0934228515544,2727.6916860961837
2094-12-31,,3686.9789738246286,2723.521791251039
2095-12-31,,3647.4608887590593,2798.027437308168
2096-12-31,,3684.7539063720615,2741.8798038155614
2097-12-31,,3667.9873941650303,2694.7503167724535
2098-12-31,,3731.2495374298,2635.6685546002996
2099-12-31,,3143.344316024772,2304.0623954554894
