,historical,rcp45,rcp85
1950-12-31,291.3246956961522,,
1951-12-31,294.93720023019245,,
1952-12-31,280.2102166748074,,
1953-12-31,294.72439060756403,,
1954-12-31,277.96323346819463,,
1955-12-31,262.9044151960127,,
1956-12-31,286.7458046177482,,
1957-12-31,280.41851187570006,,
1958-12-31,232.85762442452804,,
1959-12-31,250.0749878801643,,
1960-12-31,287.32537057059426,,
1961-12-31,276.12499450683856,,
1962-12-31,257.5912175641767,,
1963-12-31,262.48756016322795,,
1964-12-31,234.0774445452033,,
1965-12-31,226.10632149832824,,
1966-12-31,215.57485360282027,,
1967-12-31,304.56552307129175,,
1968-12-31,247.61831699916547,,
1969-12-31,232.04039263044325,,
1970-12-31,270.0450398472402,,
1971-12-31,260.72961390904277,,
1972-12-31,263.0437257603263,,
1973-12-31,267.4120765032114,,
1974-12-31,303.42739815848483,,
1975-12-31,232.13850978306604,,
1976-12-31,253.44529994419884,,
1977-12-31,294.5177632359123,,
1978-12-31,291.35834926060545,,
1979-12-31,286.83700648716774,,
1980-12-31,306.55423601423274,,
1981-12-31,333.2348887416323,,
1982-12-31,261.5184933035741,,
1983-12-31,233.79818437849025,,
1984-12-31,289.0060851178877,,
1985-12-31,300.243026471822,,
1986-12-31,283.48509294782644,,
1987-12-31,289.3415890938922,,
1988-12-31,308.16246686663226,,
1989-12-31,329.24037780762,,
1990-12-31,330.77319955008653,,
1991-12-31,348.4115923200364,,
1992-12-31,235.69620622907613,,
1993-12-31,254.759419991632,,
1994-12-31,355.77274780273734,,
1995-12-31,295.70357325962885,,
1996-12-31,319.3210004534069,,
1997-12-31,309.6117354038812,,
1998-12-31,375.84672633580095,,
1999-12-31,348.988035888675,,
2000-12-31,371.1279155622241,,
2001-12-31,374.3208823067831,,
2002-12-31,393.7212604631727,,
2003-12-31,403.21826416015926,,
2004-12-31,411.00554905483017,,
2005-12-31,402.25718165806677,,
2006-12-31,,433.82634948730794,446.61752179827323
2007-12-31,,404.21697448730777,426.8647510637587
2008-12-31,,417.7971858433347,468.84603620257025
2009-12-31,,428.6528023856058,411.0183518763981
2010-12-31,,427.48141261509824,434.616195417135
2011-12-31,,447.55615373884257,429.87388715471866
2012-12-31,,468.79875427246424,482.5382107979944
2013-12-31,,450.97955583845203,466.29139936175005
2014-12-31,,465.0161514718225,438.43210292271533
2015-12-31,,448.64204511370303,456.3938678850479
2016-12-31,,443.7322373744452,472.6789021519284
2017-12-31,,485.4511160714319,491.45994097028796
2018-12-31,,475.0813957868337,556.1781631905728
2019-12-31,,467.88106035505353,513.5538256835972
2020-12-31,,505.11238507952356,562.7352581787145
2021-12-31,,496.97409946986966,506.3815574428048
2022-12-31,,519.8639065987758,534.441050938201
2023-12-31,,483.76734985351897,580.4073519461532
2024-12-31,,493.15113194057255,609.5272137451208
2025-12-31,,533.7880827113595,522.12799639021
2026-12-31,,552.3706524658239,512.5287295968226
2027-12-31,,529.1616366141217,562.0301873779333
2028-12-31,,550.7663480922189,582.6579069301096
2029-12-31,,543.6709027099645,564.3900236293283
2030-12-31,,559.1713100760359,607.2850553676099
2031-12-31,,517.5140832519567,628.0644625418563
2032-12-31,,558.5251049804723,580.4573536028216
2033-12-31,,602.657808576315,593.4681615339042
2034-12-31,,615.342106497632,606.7442868477995
2035-12-31,,630.8260327148475,655.2625774274592
2036-12-31,,569.9588981410471,655.9424640764546
2037-12-31,,599.0577527727437,710.0984977504222
2038-12-31,,684.13572396415,674.1605302211256
2039-12-31,,600.4187474714045,636.4800710623642
2040-12-31,,610.7439563860247,695.0431450544124
2041-12-31,,632.9189540318118,674.7897373744458
2042-12-31,,642.4533037458184,705.6070992606064
2043-12-31,,661.6689291817837,706.625730154859
2044-12-31,,581.6911068289656,694.867239815852
2045-12-31,,712.3962587193118,781.1477228655176
2046-12-31,,707.6937192208467,771.4740567452607
2047-12-31,,706.2630239432236,794.6316853550542
2048-12-31,,680.2789185442282,836.3413012695355
2049-12-31,,713.3931957135921,864.0278877476326
2050-12-31,,731.9370210484136,811.3504324776828
2051-12-31,,697.2097702462373,840.9454792131737
2052-12-31,,703.9421396310028,849.9281600516227
2053-12-31,,747.1944199916335,899.4654057966003
2054-12-31,,658.2195266287704,918.1920035226048
2055-12-31,,704.1642639160198,864.9201544189494
2056-12-31,,665.5520073590999,936.391120169508
2057-12-31,,773.2558623395687,916.5783917236371
2058-12-31,,775.8771033586816,915.3359267752558
2059-12-31,,736.1511989048589,934.2286917550266
2060-12-31,,724.930726841522,911.0027269635925
2061-12-31,,693.0273183768174,998.9064955357187
2062-12-31,,783.2782852608858,949.4442501395131
2063-12-31,,792.9086829485251,993.1265222168013
2064-12-31,,656.0155065918007,1049.1510470145138
2065-12-31,,770.8553018624483,1064.932422398163
2066-12-31,,737.4348571777385,1037.5834124755906
2067-12-31,,748.072957938062,1114.1499444580124
2068-12-31,,720.1868935721299,1171.502374354776
2069-12-31,,759.0169058663544,1198.9374616350494
2070-12-31,,757.4993540736647,1115.332329101567
2071-12-31,,829.0353342982742,1118.5021505301388
2072-12-31,,830.6429976109139,1142.337214878632
2073-12-31,,754.5369390869181,1188.842957938063
2074-12-31,,793.5397991943402,1271.1727740478568
2075-12-31,,802.8659831891782,1237.928430873331
2076-12-31,,806.0478467668848,1251.4615486363052
2077-12-31,,825.1566936383972,1285.6642898123657
2078-12-31,,777.4506722586539,1263.0138503592402
2079-12-31,,761.2533544049986,1268.484283621657
2080-12-31,,806.646253138955,1331.9843112618632
2081-12-31,,741.233875906812,1337.837333722801
2082-12-31,,814.742998831617,1391.8690163748656
2083-12-31,,804.4729922921358,1407.7877977643745
2084-12-31,,841.1470642961818,1374.6132210867795
2085-12-31,,786.5836571393736,1442.2762707519582
2086-12-31,,806.0691421072863,1453.6464289202063
2087-12-31,,800.3299092320075,1446.2361559186716
2088-12-31,,789.8313523646804,1480.8290257917185
2089-12-31,,805.8331685965445,1460.5503219168581
2090-12-31,,778.2041759382015,1580.3864766148215
2091-12-31,,773.6476179722417,1539.9269369942856
2092-12-31,,875.7267101178896,1577.724159284325
2093-12-31,,862.0068644496414,1634.28739397322
2094-12-31,,837.0697921317008,1625.3661276681134
2095-12-31,,793.8620695277664,1530.9260872105242
2096-12-31,,813.0510663757366,1608.6922184535492
2097-12-31,,811.8656087951704,1645.410082833432
2098-12-31,,842.1460376586958,1632.0836416190068
2099-12-31,,820.634182525639,1637.5470986502569
