,NameMnemonic,1995_12mo_avg,1996_12mo_avg,1997_12mo_avg,1998_12mo_avg,1999_12mo_avg,2000_12mo_avg,2001_12mo_avg,2002_12mo_avg,2003_12mo_avg,2004_12mo_avg,2045_12mo_avg,2046_12mo_avg,2047_12mo_avg,2048_12mo_avg,2049_12mo_avg,2050_12mo_avg,2051_12mo_avg,2052_12mo_avg,2053_12mo_avg,2054_12mo_avg,2085_12mo_avg,2086_12mo_avg,2087_12mo_avg,2088_12mo_avg,2089_12mo_avg,2090_12mo_avg,2091_12mo_avg,2092_12mo_avg,2093_12mo_avg,2094_12mo_avg
0,AMB,16.2408078,14.95729213,15.94551104,15.52954143,16.41030553,15.73763321,20.05214088,17.91646421,15.30034925,15.09947379,16.39931269,17.13757468,14.70208168,14.23156746,17.20604466,16.20033746,15.78735369,12.14249661,15.91104258,13.0827865,18.33941646,18.66371262,19.44545541,19.29058178,18.95430955,20.82596412,20.63934195,22.86814401,22.44170729,21.28196361
1,AMC,13.57369469,19.56463707,21.11670386,19.40537413,20.95664978,22.22667402,22.489953,21.5354254,21.06837305,17.67661349,21.39675899,22.19514465,22.60825105,21.85396645,21.86520291,22.41898448,22.32574768,22.93617892,20.81209097,20.54541171,20.76732477,22.58342034,21.29346253,22.44407845,19.689106,20.99428062,20.9912169,21.17886893,20.3357809,24.14264585
2,BAR,13.64718983,12.11453389,11.88206892,13.87515627,12.70695587,12.57511174,17.18681268,13.95859169,13.54037243,11.60011857,12.62018747,15.16769395,13.53886955,12.14122751,15.26268918,14.71083994,12.90559049,9.265447854,13.59721532,9.398519206,15.35904642,16.56586017,19.27331478,16.99532203,17.6871328,19.66596476,19.72912507,20.97442598,21.67693854,18.88156652
3,BLU,17.25848534,16.41772506,16.77934304,16.73479284,17.05356268,16.97153109,21.08542911,19.57938749,16.09733322,17.09001239,17.53738476,18.64745139,15.53894517,15.40773886,18.68970173,17.78179033,16.87155643,13.0135094,17.31993452,14.53065338,19.82083962,19.56043897,20.81133565,20.65539104,20.30974791,21.76899512,21.54541962,23.99060475,23.47201816,23.73576846
4,BON,29.17853223,31.3895424,31.68724194,31.65371679,31.86859124,32.8517522,32.00542815,31.81190322,33.28892828,32.65977722,30.53318893,30.92630755,31.56843299,30.84602518,30.51510125,30.65647701,32.30548539,32.21681295,31.91602187,31.92586911,31.47411892,31.07945689,31.37092308,30.56254975,31.21283445,31.07082173,31.84538005,30.94129612,31.37433555,31.44083558
5,BUR,3.58321631,2.591029288,2.151398058,2.736759098,3.021449382,2.989922215,3.029958695,4.261023263,2.499236692,2.572618785,3.670120365,3.554181683,2.978128309,3.364823065,3.247110718,3.507720953,3.962100738,3.588083412,3.097243282,4.956584635,3.022542462,4.236203486,3.342838408,3.209397792,3.522601822,4.107525235,3.273582184,4.31166573,3.425542261,10.89293568
6,CAN,3.931564452,3.508721516,3.213061127,3.537657044,4.100681378,4.126987297,4.362622404,5.073313911,3.648263258,3.281198458,4.906422956,4.269309272,3.535582892,4.377943736,4.304559622,4.599591687,4.74549267,4.67578142,3.968897228,6.233992094,4.20263423,5.832750257,4.761033708,4.248403781,4.36881984,5.185434604,4.159795134,6.397595216,4.352305634,12.50020722
7,CNT,16.34191666,14.59413643,11.83191457,12.11701296,17.99617577,14.97362444,18.38572018,17.69337501,17.98248077,21.42777349,15.87204224,17.38775717,16.4117894,13.5094331,16.11631901,19.10843969,20.53519325,15.96832423,13.58648663,17.71775109,18.17902,18.91539256,18.08472272,17.31063597,17.07234392,18.2789012,17.65028251,18.31355961,17.68831471,21.71389525
8,DUD,8.146726732,6.5923401,7.639082781,7.209645802,9.051847829,7.384122152,9.824021183,9.171493997,6.872331269,7.615167557,7.684030606,10.32597271,8.6520041,7.549589158,9.602871605,8.058174088,8.176140988,6.314375209,6.508021727,6.713012304,8.35371192,10.53602195,9.754180041,10.72858445,10.56594213,12.22998519,12.36842538,13.89130407,13.73850347,14.52139442
9,DUP,7.719402337,6.152513422,7.238561824,6.696641634,8.62831553,6.962875559,9.331481745,8.695621388,6.419960834,7.128773626,7.228916419,9.912081979,8.264656577,7.109747525,9.137645651,7.64003548,7.709748842,5.979154978,6.078951431,6.331186332,7.848017486,10.09255761,9.412934898,10.37596988,10.21304394,11.81593971,11.93395678,13.42159781,13.3133288,13.97572431
10,EDG,16.11147791,15.14386553,15.33333095,12.3200235,18.85170674,17.45238817,19.40789051,19.98960701,17.7855883,19.61435078,16.26705431,19.71032198,14.68947797,16.89610013,16.49318771,15.57181849,19.38892313,17.47783345,14.96507556,20.46671327,19.89367691,23.94755582,24.3533973,21.09152125,25.785865,27.12046338,25.01064098,28.7231097,25.92103279,31.61789859
11,FCT,13.64530938,13.59098656,14.70656791,14.97738503,10.94496052,12.88535312,11.90206181,13.98441688,17.65739147,13.76780051,16.50213322,15.45845183,16.40229647,13.22667329,16.52913752,18.65304751,15.25925519,12.90811636,18.3119865,14.42478844,18.7727706,18.13705251,21.19847406,18.78068239,22.64041239,21.31738932,21.47794434,23.46284526,23.44032336,17.9661106
12,FER,5.550466834,4.8530443,4.874848041,6.285813986,7.161467016,7.14289669,7.336441631,7.802563276,6.928309246,5.849672335,8.549523118,7.522942963,4.740332226,6.594612525,5.514832313,7.761744518,8.805343513,7.569005216,6.181466168,8.61130945,7.379496939,9.530401563,8.663017227,6.091974271,8.642966268,9.274410567,8.583968496,9.993571978,7.707084459,17.41981847
13,GJO,17.46246439,13.98098522,13.65307335,14.24572495,16.84950018,17.09622705,18.27301777,16.79825066,15.74644487,18.73260793,16.27817393,19.47397364,17.04822135,14.48399142,16.2654379,15.30256167,18.99402399,14.14460023,14.39651367,15.29649618,18.39603018,18.730868,17.16123538,17.50602831,17.80553237,18.41699522,19.67769266,19.88318142,19.66999877,24.15433481
